,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
6648,0,11 - 20 years,8 - 10 years,High School,Woman,Banking & Insurance,bad payed
6649,3,5-7 years,1 year or less,College degree,Woman,Banking & Insurance,bad payed
6650,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
6651,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6652,1,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,very well payed
6653,0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
6654,0,11 - 20 years,11 - 20 years,Some college,Woman,Consulting,bad payed
6656,3,21 - 30 years,21 - 30 years,College degree,Woman,Health,well payed
6657,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6658,1,5-7 years,5-7 years,PhD,Man,Non profit Organization,well payed
6659,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,very well payed
6660,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,very well payed
6661,2,31 - 40 years,2 - 4 years,College degree,Woman,Public & Government,well payed
6662,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
6663,3,2 - 4 years,2 - 4 years,College degree,Woman,Culture,well payed
6664,0,5-7 years,5-7 years,PhD,Woman,Industry,well payed
6665,1,5-7 years,2 - 4 years,College degree,Man,Technology & Science,very well payed
6666,1,11 - 20 years,2 - 4 years,College degree,Non-binary,Other,well payed
6668,3,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,very well payed
6669,0,5-7 years,5-7 years,Master's degree,Woman,Advertising,bad payed
6670,0,8 - 10 years,5-7 years,Some college,Woman,Culture,bad payed
6671,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed
6672,1,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed
6673,0,8 - 10 years,11 - 20 years,Some college,Woman,Unidentified,well payed
6674,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,bad payed
6675,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed
6676,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6677,1,8 - 10 years,8 - 10 years,College degree,Man,Banking & Insurance,well payed
6678,3,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6680,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
6681,0,31 - 40 years,31 - 40 years,Master's degree,Man,Other,well payed
6682,0,21 - 30 years,11 - 20 years,Master's degree,Man,Other,very well payed
6683,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
6684,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed
6685,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed
6686,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
6687,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
6688,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
6689,3,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,very well payed
6690,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,bad payed
6691,0,2 - 4 years,2 - 4 years,PhD,Woman,Unidentified,well payed
6692,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,very well payed
6693,1,11 - 20 years,5-7 years,College degree,Man,Non profit Organization,bad payed
6694,3,8 - 10 years,2 - 4 years,College degree,Woman,Culture,very well payed
6695,0,21 - 30 years,11 - 20 years,PhD,Woman,Education,very well payed
6696,0,31 - 40 years,21 - 30 years,Master's degree,Woman,Unidentified,well payed
6698,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,bad payed
6699,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
6700,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Non profit Organization,bad payed
6701,1,8 - 10 years,8 - 10 years,College degree,Man,Banking & Insurance,well payed
6702,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
6703,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
6704,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6705,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,well payed
6706,0,5-7 years,2 - 4 years,Master's degree,Woman,Law,well payed
6707,2,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,very well payed
6708,0,11 - 20 years,11 - 20 years,Master's degree,Man,Non profit Organization,well payed
6710,1,5-7 years,5-7 years,PhD,Man,Technology & Science,very well payed
6711,0,11 - 20 years,11 - 20 years,Master's degree,Prefer not to answer,Culture,bad payed
6712,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
6713,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
6714,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,very well payed
6715,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
6716,3,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
6717,2,31 - 40 years,31 - 40 years,Master's degree,Man,Public & Government,well payed
6718,3,8 - 10 years,5-7 years,College degree,Woman,Culture,bad payed
6719,3,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed
6720,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,bad payed
6721,2,11 - 20 years,8 - 10 years,Master's degree,Prefer not to answer,Public & Government,well payed
6722,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
6724,2,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
6725,2,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
6726,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,bad payed
6727,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed
6728,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
6729,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6732,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
6733,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
6734,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,bad payed
6735,0,5-7 years,2 - 4 years,High School,Woman,Other,bad payed
6736,2,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,well payed
6737,2,5-7 years,5-7 years,College degree,Woman,Public & Government,well payed
6738,0,11 - 20 years,5-7 years,Master's degree,Prefer not to answer,Industry,well payed
6739,3,21 - 30 years,21 - 30 years,College degree,Woman,Unidentified,well payed
6740,3,8 - 10 years,5-7 years,College degree,Woman,Consulting,very well payed
6741,2,11 - 20 years,5-7 years,College degree,Woman,Public & Government,well payed
6742,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
6744,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Culture,bad payed
6745,3,8 - 10 years,5-7 years,College degree,Woman,Advertising,well payed
6746,0,11 - 20 years,11 - 20 years,PhD,Woman,Industry,very well payed
6747,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
6748,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
6749,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6750,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
6751,0,21 - 30 years,21 - 30 years,Some college,Woman,Non profit Organization,well payed
6752,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6753,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6754,0,21 - 30 years,11 - 20 years,Master's degree,Man,Health,very well payed
6755,3,2 - 4 years,2 - 4 years,College degree,Woman,Other,well payed
6756,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
6757,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6758,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6759,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
6760,3,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
6761,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
6762,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
6763,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
6765,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
6766,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Other,well payed
6767,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6768,2,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,bad payed
6769,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
6770,1,5-7 years,2 - 4 years,College degree,Man,Health,well payed
6771,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Health,well payed
6772,3,8 - 10 years,5-7 years,College degree,Woman,Law,well payed
6773,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed
6775,3,21 - 30 years,8 - 10 years,College degree,Woman,Other,well payed
6776,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,well payed
6777,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
6778,3,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,well payed
6779,3,31 - 40 years,8 - 10 years,College degree,Woman,Law,well payed
6781,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6782,2,31 - 40 years,31 - 40 years,Master's degree,Woman,Public & Government,bad payed
6783,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
6784,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
6785,1,8 - 10 years,5-7 years,PhD,Man,Health,very well payed
6786,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
6787,3,1 year or less,1 year or less,College degree,Woman,Advertising,bad payed
6788,3,11 - 20 years,5-7 years,PhD,Woman,Technology & Science,well payed
6789,0,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed
6790,0,11 - 20 years,5-7 years,Master's degree,Woman,Consulting,very well payed
6791,3,21 - 30 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
6793,3,11 - 20 years,5-7 years,College degree,Woman,Advertising,bad payed
6795,0,8 - 10 years,2 - 4 years,College degree,Woman,Education,bad payed
6796,3,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed
6797,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Consulting,well payed
6798,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6800,2,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,well payed
6801,1,11 - 20 years,11 - 20 years,College degree,Man,Culture,well payed
6803,1,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,well payed
6804,0,31 - 40 years,21 - 30 years,Some college,Woman,Consulting,well payed
6806,0,11 - 20 years,5-7 years,Master's degree,Woman,Other,well payed
6807,2,1 year or less,1 year or less,College degree,Woman,Public & Government,bad payed
6808,0,8 - 10 years,8 - 10 years,High School,Man,Education,well payed
6810,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
6811,3,31 - 40 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
6812,2,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,well payed
6814,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
6815,3,21 - 30 years,8 - 10 years,College degree,Woman,Culture,bad payed
6816,3,21 - 30 years,21 - 30 years,Some college,Woman,Technology & Science,well payed
6817,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6818,2,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
6819,2,8 - 10 years,5-7 years,Master's degree,Man,Public & Government,well payed
6820,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
6821,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed
6823,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed
6825,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
6826,3,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
6827,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,very well payed
6828,0,8 - 10 years,5-7 years,Some college,Woman,Other,bad payed
6831,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,well payed
6832,0,31 - 40 years,11 - 20 years,PhD,Woman,Education,bad payed
6833,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
6834,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
6835,3,21 - 30 years,2 - 4 years,College degree,Woman,Industry,bad payed
6837,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,very well payed
6838,0,11 - 20 years,1 year or less,PhD,Man,Education,very well payed
6839,3,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed
6840,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
6841,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
6842,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed
6843,3,5-7 years,2 - 4 years,College degree,Woman,Law,bad payed
6844,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
6845,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
6846,2,21 - 30 years,21 - 30 years,College degree,Woman,Public & Government,well payed
6848,2,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
6849,3,11 - 20 years,2 - 4 years,College degree,Woman,Other,bad payed
6850,3,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,well payed
6851,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,well payed
6852,0,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed
6853,3,5-7 years,2 - 4 years,PhD,Woman,Technology & Science,well payed
6854,3,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed
6855,3,8 - 10 years,2 - 4 years,College degree,Woman,Industry,well payed
6856,0,21 - 30 years,21 - 30 years,Some college,Woman,Industry,well payed
6857,0,2 - 4 years,1 year or less,Master's degree,Woman,Education,well payed
6859,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6860,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed
6861,3,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
6862,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
6863,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Health,well payed
6864,3,8 - 10 years,8 - 10 years,PhD,Woman,Technology & Science,well payed
6865,0,1 year or less,1 year or less,Some college,Non-binary,Culture,bad payed
6866,0,8 - 10 years,1 year or less,Master's degree,Woman,Consulting,well payed
6867,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6868,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,bad payed
6869,3,11 - 20 years,2 - 4 years,College degree,Woman,Unidentified,well payed
6870,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
6871,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6872,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
6873,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,very well payed
6874,1,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,very well payed
6875,0,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed
6876,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6877,0,21 - 30 years,5-7 years,College degree,Woman,Education,well payed
6878,3,8 - 10 years,5-7 years,College degree,Woman,Culture,very well payed
6879,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
6880,1,2 - 4 years,1 year or less,College degree,Man,Health,bad payed
6881,0,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Non profit Organization,bad payed
6882,3,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
6883,3,11 - 20 years,2 - 4 years,College degree,Woman,Advertising,well payed
6884,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,bad payed
6886,0,8 - 10 years,1 year or less,Master's degree,Woman,Health,bad payed
6887,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed
6888,1,5-7 years,5-7 years,College degree,Man,Education,well payed
6890,3,11 - 20 years,2 - 4 years,College degree,Woman,Culture,bad payed
6891,3,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,bad payed
6892,3,31 - 40 years,31 - 40 years,College degree,Woman,Health,very well payed
6893,3,8 - 10 years,8 - 10 years,College degree,Woman,Industry,well payed
6894,0,2 - 4 years,2 - 4 years,High School,Woman,Other,bad payed
6895,2,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,bad payed
6897,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
6898,3,31 - 40 years,31 - 40 years,College degree,Woman,Technology & Science,well payed
6900,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6901,1,11 - 20 years,5-7 years,College degree,Non-binary,Technology & Science,well payed
6902,3,31 - 40 years,31 - 40 years,College degree,Woman,Advertising,well payed
6903,3,5-7 years,2 - 4 years,College degree,Woman,Advertising,bad payed
6904,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,very well payed
6905,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
6906,3,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,bad payed
6907,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
6908,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
6909,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Law,well payed
6910,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6911,0,8 - 10 years,8 - 10 years,High School,Woman,Other,well payed
6912,1,21 - 30 years,11 - 20 years,College degree,Man,Public & Government,bad payed
6914,0,5-7 years,5-7 years,PhD,Woman,Education,well payed
6916,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
6918,3,8 - 10 years,2 - 4 years,PhD,Woman,Technology & Science,well payed
6919,2,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed
6920,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
6921,3,8 - 10 years,8 - 10 years,College degree,Woman,Law,bad payed
6922,3,1 year or less,1 year or less,College degree,Woman,Technology & Science,bad payed
6923,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
6925,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,very well payed
6926,3,8 - 10 years,1 year or less,College degree,Woman,Health,bad payed
6927,3,8 - 10 years,5-7 years,College degree,Woman,Advertising,very well payed
6928,0,41 years or more,21 - 30 years,PhD,Woman,Education,very well payed
6929,0,21 - 30 years,21 - 30 years,PhD,Man,Education,well payed
6930,2,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,well payed
6931,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,bad payed
6932,3,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,well payed
6933,0,5-7 years,5-7 years,PhD,Woman,Industry,bad payed
6934,3,8 - 10 years,5-7 years,College degree,Woman,Unidentified,bad payed
6935,2,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,well payed
6936,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
6937,3,21 - 30 years,21 - 30 years,College degree,Woman,Unidentified,well payed
6938,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
6939,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,well payed
6940,0,11 - 20 years,2 - 4 years,College degree,Woman,Education,bad payed
6941,1,11 - 20 years,8 - 10 years,College degree,Non-binary,Technology & Science,well payed
6942,3,8 - 10 years,5-7 years,College degree,Woman,Unidentified,well payed
6943,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed
6944,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
6945,3,8 - 10 years,2 - 4 years,College degree,Woman,Health,bad payed
6946,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed
6947,2,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
6948,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6949,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed
6950,3,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed
6951,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
6952,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6953,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
6954,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
6955,0,8 - 10 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed
6956,3,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
6957,1,21 - 30 years,21 - 30 years,High School,Man,Technology & Science,very well payed
6958,3,5-7 years,5-7 years,College degree,Woman,Advertising,very well payed
6959,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
6961,3,8 - 10 years,8 - 10 years,College degree,Woman,Consulting,well payed
6962,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,bad payed
6963,3,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed
6964,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6965,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
6966,3,41 years or more,31 - 40 years,Some college,Woman,Technology & Science,well payed
6967,2,5-7 years,2 - 4 years,College degree,Woman,Public & Government,well payed
6968,0,41 years or more,41 years or more,Some college,Woman,Health,bad payed
6969,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed
6970,2,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,well payed
6971,3,5-7 years,2 - 4 years,College degree,Woman,Consulting,well payed
6973,0,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
6975,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
6976,3,2 - 4 years,1 year or less,College degree,Woman,Industry,bad payed
6977,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
6978,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
6980,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,very well payed
6981,0,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
6982,3,11 - 20 years,5-7 years,College degree,Woman,Unidentified,bad payed
6983,0,21 - 30 years,8 - 10 years,Master's degree,Woman,Education,well payed
6984,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
6985,0,11 - 20 years,8 - 10 years,Some college,Woman,Law,bad payed
6986,1,11 - 20 years,8 - 10 years,College degree,Man,Culture,well payed
6987,1,5-7 years,5-7 years,Master's degree,Man,Technology & Science,very well payed
6988,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
6989,1,5-7 years,5-7 years,College degree,Man,Banking & Insurance,bad payed
6991,0,8 - 10 years,1 year or less,Master's degree,Woman,Advertising,bad payed
6992,3,11 - 20 years,8 - 10 years,College degree,Woman,Culture,bad payed
6993,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed
6994,1,8 - 10 years,2 - 4 years,Some college,Man,Public & Government,bad payed
6995,3,31 - 40 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
6996,1,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Law,very well payed
6997,0,31 - 40 years,11 - 20 years,College degree,Woman,Education,bad payed
6998,0,31 - 40 years,41 years or more,Master's degree,Woman,Industry,very well payed
6999,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed
7000,3,31 - 40 years,11 - 20 years,College degree,Woman,Advertising,well payed
7002,0,21 - 30 years,11 - 20 years,Some college,Woman,Non profit Organization,bad payed
7004,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
7005,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
7007,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed
7008,0,11 - 20 years,5-7 years,Some college,Woman,Banking & Insurance,bad payed
7009,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,bad payed
7010,0,5-7 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
7011,0,2 - 4 years,2 - 4 years,Master's degree,Man,Banking & Insurance,well payed
7012,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,bad payed
7013,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
7014,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
7015,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
7016,0,31 - 40 years,5-7 years,Master's degree,Woman,Education,well payed
7017,0,5-7 years,2 - 4 years,Master's degree,Woman,Health,well payed
7018,2,5-7 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
7019,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
7020,2,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed
7021,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
7022,1,5-7 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,bad payed
7024,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
7025,1,11 - 20 years,5-7 years,College degree,Non-binary,Public & Government,bad payed
7026,3,31 - 40 years,8 - 10 years,College degree,Woman,Other,bad payed
7027,3,21 - 30 years,21 - 30 years,College degree,Woman,Consulting,very well payed
7028,0,21 - 30 years,11 - 20 years,Some college,Woman,Non profit Organization,well payed
7029,0,11 - 20 years,5-7 years,Some college,Woman,Banking & Insurance,well payed
7030,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
7031,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,well payed
7032,1,31 - 40 years,31 - 40 years,College degree,Man,Other,bad payed
7033,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed
7034,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed
7035,2,8 - 10 years,5-7 years,PhD,Woman,Public & Government,well payed
7036,3,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
7037,3,8 - 10 years,8 - 10 years,College degree,Woman,Culture,bad payed
7038,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
7039,0,5-7 years,2 - 4 years,Master's degree,Woman,Other,well payed
7040,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,well payed
7041,3,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,well payed
7042,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
7043,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed
7044,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed
7045,0,11 - 20 years,2 - 4 years,College degree,Woman,Education,bad payed
7046,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
7047,0,5-7 years,5-7 years,High School,Woman,Banking & Insurance,bad payed
7048,0,21 - 30 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
