,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
6112,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,70000.0,1.1263870652145929
6114,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,well payed,73080.0,1.175948096084035
6116,0,25-34,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,96500.0,1.55280502561726
6117,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,53000.0,0.8528359208053345
6118,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Industry,bad payed,47840.0,0.7698051028552303
6119,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Health,bad payed,42640.0,0.6861306351535749
6120,5,25-34,5-7 years,5-7 years,College degree,Non-binary,Non profit Organization,bad payed,61000.0,0.9815658711155738
6121,1,45-54,31 - 40 years,21 - 30 years,College degree,Woman,Education,bad payed,56800.0,0.9139826472026982
6122,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed,60777.0,0.9779775237506758
6123,1,55-64,31 - 40 years,31 - 40 years,College degree,Man,Other,well payed,76147.0,1.2252999407842229
6124,2,25-34,2 - 4 years,1 year or less,College degree,Woman,Consulting,bad payed,42000.0,0.6758322391287557
6125,0,35-44,8 - 10 years,5-7 years,Some college,Woman,Technology & Science,bad payed,48000.0,0.7723797018614351
6126,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,37500.0,0.6034216420792462
6127,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,bad payed,42000.0,0.6758322391287557
6128,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed,52920.0,1.379590815241194
6129,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,62150.0,1.0000708014726707
6130,5,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,72800.0,1.1714425478231765
6131,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed,44000.0,0.7080147267063155
6132,1,45-54,21 - 30 years,1 year or less,College degree,Woman,Public & Government,bad payed,45500.0,0.7321515923894854
6133,4,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,92000.0,1.4803944285677506
6135,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Man,Public & Government,well payed,77488.0,1.2468782987049767
6136,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed,67000.0,1.0781133338482531
6137,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,111000.0,1.7861280605545686
6138,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Advertising,well payed,83300.0,1.3404006076053654
6139,4,25-34,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,bad payed,48000.0,0.7723797018614351
6140,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,85000.0,1.3677557220462913
6142,2,25-34,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Health,well payed,47400.0,1.1292166952544311
6143,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Education,well payed,51350.0,1.2233180865256337
6144,0,25-34,8 - 10 years,8 - 10 years,College degree,Prefer not to answer,Technology & Science,well payed,173000.0,2.7837851754589225
6145,5,45-54,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,104000.0,1.6734893540331093
6146,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed,133000.0,2.1401354239077266
6147,3,35-44,2 - 4 years,2 - 4 years,PhD,Woman,Education,bad payed,36000.0,0.5792847763960763
6148,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,70584.0,1.1357843515872403
6150,3,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,95000.0,1.5286681599340903
6151,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed,53720.0,1.2797789212883552
6152,4,18-24,1 year or less,1 year or less,College degree,Woman,Technology & Science,well payed,115000.0,1.8504930357096883
6153,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,bad payed,62000.0,0.9976571149043537
6154,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,105000.0,1.6895805978218892
6155,2,25-34,8 - 10 years,5-7 years,College degree,Woman,Health,bad payed,32240.0,0.5187816997502639
6156,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,108000.0,1.737854329188229
6157,3,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,82000.0,1.3194819906799515
6158,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Culture,bad payed,58493.0,0.9412251229371026
6159,1,55-64,31 - 40 years,11 - 20 years,College degree,Woman,Education,well payed,71500.0,1.1505239308977626
6160,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,175000.0,2.8159676630364823
6161,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Law,well payed,98000.0,1.57694189130043
6162,2,25-34,5-7 years,2 - 4 years,College degree,Man,Culture,well payed,120000.0,1.9309492546535878
6164,2,55-64,21 - 30 years,2 - 4 years,Some college,Woman,Non profit Organization,bad payed,47000.0,0.7562884580726552
6165,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed,73000.0,1.1746607965809326
6166,0,35-44,8 - 10 years,8 - 10 years,PhD,Woman,Industry,well payed,136843.0,2.2019740737880076
6167,2,25-34,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,well payed,59250.0,1.411520869068039
6168,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,85000.0,1.3677557220462913
6169,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Advertising,well payed,83000.0,1.3355732344687314
6170,1,35-44,11 - 20 years,2 - 4 years,High School,Woman,Unidentified,well payed,81000.0,1.3033907468911716
6171,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed,103690.0,1.6685010684585877
6172,3,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Education,bad payed,35550.0,0.8469125214408233
6173,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,97000.0,1.5608506475116501
6174,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,77250.0,1.2430485826832471
6175,5,25-34,8 - 10 years,5-7 years,Some college,Woman,Advertising,bad payed,62000.0,0.9976571149043537
6176,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Other,well payed,69000.0,1.110295821425813
6177,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,bad payed,27000.0,0.4344635822970572
6179,0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,85000.0,1.3677557220462913
6180,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,71100.0,1.6938250428816466
6181,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,100000.0,1.6091243788779899
6182,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,185000.0,2.976880100924281
6184,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,85000.0,1.3677557220462913
6185,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Unidentified,bad payed,60000.0,0.9654746273267939
6186,2,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Health,well payed,100000.0,1.6091243788779899
6187,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed,43000.0,0.6919234829175356
6188,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Unidentified,well payed,69000.0,1.110295821425813
6190,1,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,105000.0,1.6895805978218892
6191,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,well payed,67000.0,1.0781133338482531
6192,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Education,well payed,75552.0,1.2157256507298988
6193,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,81000.0,1.3033907468911716
6194,1,35-44,21 - 30 years,11 - 20 years,High School,Woman,Other,well payed,41580.0,1.0839642119752237
6195,1,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Health,bad payed,26000.0,0.4183723385082773
6196,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,65000.0,1.0459308462706933
6197,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,58000.0,0.9332921397492341
6198,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Industry,well payed,82500.0,1.3275276125743416
6199,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Education,bad payed,45000.0,0.7241059704950954
6201,1,35-44,8 - 10 years,5-7 years,College degree,Woman,Health,bad payed,36088.0,0.5807008058494889
6202,5,25-34,5-7 years,5-7 years,Master's degree,Non-binary,Non profit Organization,bad payed,56250.0,0.9051324631188693
6203,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Health,well payed,65000.0,1.0459308462706933
6204,2,25-34,5-7 years,1 year or less,Some college,Woman,Health,bad payed,34000.0,0.5471022888185165
6205,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Industry,well payed,108000.0,1.737854329188229
6207,1,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,121000.0,1.9470404984423677
6208,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed,100000.0,1.6091243788779899
6209,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,155000.0,2.494142787260884
6210,2,25-34,8 - 10 years,2 - 4 years,PhD,Woman,Public & Government,well payed,67000.0,1.0781133338482531
6211,0,35-44,5-7 years,8 - 10 years,High School,Woman,Other,bad payed,40000.0,0.643649751551196
6212,2,25-34,8 - 10 years,5-7 years,College degree,Woman,Health,well payed,75000.0,1.2068432841584924
6213,4,45-54,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,85000.0,1.3677557220462913
6214,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,75840.0,1.8067467124070897
6215,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Consulting,well payed,83139.6,1.9806460834762722
6217,5,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,130000.0,2.0918616925413867
6218,1,35-44,21 - 30 years,21 - 30 years,College degree,Man,Industry,well payed,110000.0,1.7700368167657887
6219,0,55-64,31 - 40 years,21 - 30 years,Master's degree,Man,Technology & Science,well payed,130000.0,2.0918616925413867
6220,0,45-54,31 - 40 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed,77830.0,1.2523815040807396
6221,0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,bad payed,37000.0,0.5953760201848562
6222,2,25-34,5-7 years,5-7 years,College degree,Woman,Health,well payed,66000.0,1.0620220900594732
6223,1,55-64,21 - 30 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,49000.0,0.788470945650215
6224,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Other,bad payed,57500.0,0.9252465178548441
6226,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Industry,well payed,80000.0,1.287299503102392
6227,0,45-54,21 - 30 years,8 - 10 years,High School,Woman,Technology & Science,well payed,110000.0,1.7700368167657887
6228,5,25-34,5-7 years,5-7 years,College degree,Woman,Education,bad payed,30500.0,0.4907829355577869
6230,3,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed,62000.0,0.9976571149043537
6231,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,120000.0,1.9309492546535878
6232,1,45-54,31 - 40 years,31 - 40 years,College degree,Woman,Law,bad payed,45000.0,0.7241059704950954
6233,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed,120864.0,1.9448520892870935
6234,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed,125000.0,2.0114054735974873
6235,0,35-44,11 - 20 years,1 year or less,Master's degree,Woman,Technology & Science,well payed,160000.0,2.574599006204784
6236,0,45-54,31 - 40 years,8 - 10 years,Some college,Man,Industry,bad payed,25000.0,0.40228109471949747
6237,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,well payed,110000.0,1.7700368167657887
6238,5,45-54,21 - 30 years,5-7 years,College degree,Woman,Culture,bad payed,52000.0,0.8367446770165546
6239,4,25-34,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed,79000.0,1.271208259313612
6240,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed,82000.0,1.3194819906799515
6241,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Culture,well payed,55300.0,1.3174194777968362
6242,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,64000.0,1.0298396024819134
6243,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,66900.0,1.076504209469375
6244,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,130000.0,2.0918616925413867
6245,2,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Health,bad payed,39500.0,0.941013912712026
6246,1,35-44,11 - 20 years,1 year or less,College degree,Prefer not to answer,Public & Government,bad payed,57000.0,0.9172008959604542
6247,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Other,well payed,65000.0,1.0459308462706933
6248,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed,81291.0,1.3080732988337067
6249,2,18-24,1 year or less,1 year or less,College degree,Woman,Health,bad payed,37440.0,0.6024561674519193
6250,1,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,83000.0,1.3355732344687314
6251,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Health,well payed,133000.0,2.1401354239077266
6252,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,well payed,145000.0,2.333230349373085
6253,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed,40500.0,0.6516953734455858
6254,3,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed,150000.0,2.413686568316985
6255,5,45-54,21 - 30 years,5-7 years,College degree,Man,Education,bad payed,36540.0,0.9525746105236815
6256,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,55000.0,0.8850184083828944
6257,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed,34216.0,0.550577997476893
6258,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Health,well payed,69700.0,1.121559692077959
6259,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed,87100.0,1.4015473340027291
6260,0,45-54,21 - 30 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,130000.0,2.0918616925413867
6261,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed,111783.0,1.7987275044411832
6262,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed,172000.0,2.7676939316701423
6263,5,45-54,31 - 40 years,21 - 30 years,Some college,Woman,Non profit Organization,well payed,95000.0,1.5286681599340903
6265,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed,67000.0,1.0781133338482531
6266,5,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed,52000.0,0.8367446770165546
6267,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,bad payed,61500.0,0.9896114930099638
6268,5,35-44,11 - 20 years,5-7 years,PhD,Woman,Non profit Organization,bad payed,28980.0,0.755490208346368
6269,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,52000.0,0.8367446770165546
6270,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Industry,bad payed,27000.0,0.4344635822970572
6271,2,25-34,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,bad payed,50000.0,0.8045621894389949
6272,1,55-64,31 - 40 years,31 - 40 years,College degree,Man,Industry,well payed,82000.0,1.3194819906799515
6273,1,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,bad payed,40000.0,0.643649751551196
6274,3,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Culture,well payed,69665.0,1.1209964985453515
6275,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,125000.0,2.0114054735974873
6276,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,60000.0,0.9654746273267939
6277,3,35-44,21 - 30 years,2 - 4 years,Master's degree,Woman,Education,bad payed,29000.0,0.46664606987461704
6278,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,99500.0,1.6010787569835998
6279,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed,52000.0,0.8367446770165546
6281,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,81000.0,1.3033907468911716
6282,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed,31200.0,0.5020468062099328
6283,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed,45000.0,0.7241059704950954
6284,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Man,Public & Government,bad payed,56160.0,0.9036842511778791
6285,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Law,bad payed,40000.0,0.643649751551196
6286,0,35-44,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,122000.0,1.9631317422311476
6287,1,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Culture,well payed,81900.0,2.135081023587562
6288,5,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,67000.0,1.0781133338482531
6289,5,25-34,5-7 years,5-7 years,College degree,Man,Consulting,well payed,117000.0,1.882675523287248
6291,1,45-54,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,well payed,126282.0,2.032034448134703
6292,1,35-44,5-7 years,5-7 years,College degree,Woman,Education,bad payed,45600.0,0.7337607167683633
6293,1,45-54,21 - 30 years,21 - 30 years,High School,Woman,Banking & Insurance,well payed,77000.0,1.2390257717360522
6294,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Other,well payed,107000.0,1.721763085399449
6295,1,35-44,11 - 20 years,1 year or less,College degree,Woman,Banking & Insurance,bad payed,35280.0,0.919727210160796
6296,1,45-54,21 - 30 years,1 year or less,College degree,Woman,Industry,well payed,78000.0,1.2551170155248321
6297,0,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Technology & Science,well payed,135000.0,2.1723179114852864
6298,5,45-54,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed,66000.0,1.0620220900594732
6299,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Consulting,well payed,144000.0,2.3171391055843054
6300,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed,72000.0,1.1585695527921527
6301,5,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,80000.0,1.287299503102392
6302,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,90850.0,2.1643319992376595
6303,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Health,well payed,68500.0,1.1022501995314231
6304,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Culture,bad payed,27500.0,0.4425092041914472
6306,5,25-34,5-7 years,5-7 years,College degree,Woman,Unidentified,bad payed,54350.0,0.8745590999201874
6307,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed,35000.0,0.5631935326072964
6308,1,35-44,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,65000.0,1.0459308462706933
6309,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Law,bad payed,61500.0,0.9896114930099638
6310,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,68000.0,1.094204577637033
6311,2,25-34,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Other,well payed,72000.0,1.1585695527921527
6312,0,45-54,21 - 30 years,11 - 20 years,PhD,Woman,Technology & Science,well payed,128000.0,2.059679204963827
6313,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,78000.0,1.2551170155248321
6314,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,96000.0,1.5447594037228702
6315,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Culture,well payed,72000.0,1.1585695527921527
6316,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed,125000.0,2.0114054735974873
6317,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,70000.0,1.1263870652145929
6319,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Consulting,well payed,113000.0,1.8183105481321284
6320,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Advertising,well payed,63000.0,1.6423700181442784
6322,1,35-44,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Other,well payed,112000.0,1.8022193043433485
6323,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed,40000.0,0.643649751551196
6324,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Consulting,well payed,140000.0,2.2527741304291857
6325,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,42000.0,0.6758322391287557
6326,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Other,bad payed,38480.0,0.6191910609922505
6327,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,well payed,64500.0,1.0378852243763035
6328,0,25-34,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,bad payed,50000.0,0.8045621894389949
6329,4,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,38000.0,0.6114672639736362
6331,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed,40000.0,0.643649751551196
6332,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Consulting,bad payed,52000.0,0.8367446770165546
6333,5,25-34,8 - 10 years,5-7 years,Some college,Woman,Other,well payed,70000.0,1.1263870652145929
6334,2,35-44,2 - 4 years,2 - 4 years,PhD,Woman,Health,well payed,93000.0,1.4964856723565305
6335,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,bad payed,61000.0,0.9815658711155738
6336,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,bad payed,33000.0,0.5310110450297366
6337,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,80000.0,1.287299503102392
6338,2,25-34,11 - 20 years,2 - 4 years,Master's degree,Man,Health,bad payed,50000.0,0.8045621894389949
6339,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Other,bad payed,55000.0,0.8850184083828944
6340,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,140000.0,2.2527741304291857
6341,2,25-34,8 - 10 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed,45000.0,0.7241059704950954
6342,2,25-34,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,160000.0,2.574599006204784
6343,1,45-54,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed,95000.0,1.5286681599340903
6344,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Unidentified,well payed,70000.0,1.1263870652145929
6346,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed,108000.0,1.737854329188229
6347,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed,54000.0,0.8689271645941145
6348,1,45-54,31 - 40 years,21 - 30 years,College degree,Woman,Unidentified,well payed,85000.0,1.3677557220462913
6349,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,69000.0,1.110295821425813
6351,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed,93000.0,1.4964856723565305
6352,5,55-64,21 - 30 years,5-7 years,Some college,Woman,Public & Government,bad payed,32562.0,0.5239630802502511
6353,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Unidentified,bad payed,47000.0,0.7562884580726552
6354,1,35-44,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,78120.0,2.036538822498905
6355,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,85000.0,1.3677557220462913
6356,4,45-54,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed,185000.0,2.976880100924281
6357,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,well payed,72000.0,1.1585695527921527
6358,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Other,bad payed,36000.0,0.5792847763960763
6360,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,well payed,67058.36,1.5975404993329523
6361,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Health,well payed,85600.0,1.3774104683195592
6362,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,112000.0,1.8022193043433485
6363,1,55-64,31 - 40 years,21 - 30 years,College degree,Woman,Education,bad payed,49200.0,0.791689194407971
6364,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,bad payed,54000.0,0.8689271645941145
6365,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Culture,bad payed,32000.0,0.5149198012409567
6367,2,25-34,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed,64780.0,1.5432628168477225
6368,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,well payed,64000.0,1.0298396024819134
6369,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed,35697.06,0.9305996996809109
6370,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Culture,bad payed,50000.0,0.8045621894389949
6372,5,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,59500.0,0.957429005432404
6373,3,55-64,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,bad payed,41000.0,0.6597409953399758
6374,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Other,well payed,160000.0,2.574599006204784
6375,3,35-44,21 - 30 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed,61400.0,0.9880023686310857
6377,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed,125000.0,2.0114054735974873
6378,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,75000.0,1.2068432841584924
6380,0,25-34,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,117792.0,1.8954197883679618
6381,2,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Education,well payed,120000.0,1.9309492546535878
6382,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,75900.0,1.2213254035683943
6383,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed,37800.0,0.985422010886567
