,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
7318,25-34,0.949383383538014,59000.0,8 - 10 years,2 - 4 years,College degree,Woman,Education,59000.0
7319,35-44,2.413686568316985,150000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,150000.0
7321,35-44,1.2068432841584924,75000.0,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,75000.0
7322,55-64,3.0090625885018407,187000.0,41 years or more,11 - 20 years,College degree,Man,Technology & Science,187000.0
7323,25-34,1.5240016992353442,94710.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,94710.0
7324,25-34,0.8528359208053345,53000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,53000.0
7325,35-44,2.0918616925413867,130000.0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,130000.0
7326,35-44,0.6919234829175356,43000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Health,43000.0
7327,35-44,1.56889626940604,97500.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,97500.0
7328,35-44,1.0470091878867862,59000.0,11 - 20 years,1 year or less,College degree,Woman,Law,41890.0
7331,45-54,0.8045621894389949,50000.0,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,50000.0
7332,35-44,2.1562266676965063,134000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,134000.0
7333,35-44,0.949383383538014,59000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Public & Government,59000.0
7334,35-44,1.2390257717360522,77000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,77000.0
7335,25-34,0.6838778610231456,42500.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,42500.0
7336,25-34,0.8850184083828944,55000.0,8 - 10 years,2 - 4 years,College degree,Man,Non profit Organization,55000.0
7337,45-54,1.1714425478231765,72800.0,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,72800.0
7338,35-44,1.1260163545075468,82000.0,11 - 20 years,8 - 10 years,College degree,Woman,Law,58220.0
7340,25-34,1.8723018206844775,57000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,71820.0
7341,35-44,1.0459308462706933,65000.0,11 - 20 years,5-7 years,College degree,Woman,Industry,65000.0
7343,35-44,0.8045621894389949,50000.0,21 - 30 years,11 - 20 years,College degree,Woman,Culture,50000.0
7344,35-44,1.4482119409901908,90000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,90000.0
7345,35-44,2.8964238819803816,180000.0,8 - 10 years,8 - 10 years,PhD,Woman,Technology & Science,180000.0
7346,35-44,0.5631935326072964,35000.0,8 - 10 years,2 - 4 years,Some college,Woman,Public & Government,35000.0
7347,55-64,1.5125769161453104,94000.0,31 - 40 years,21 - 30 years,College degree,Woman,Education,94000.0
7348,35-44,2.7918307973533123,173500.0,21 - 30 years,11 - 20 years,Master's degree,Man,Technology & Science,173500.0
7349,25-34,2.0918616925413867,130000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,130000.0
7350,25-34,1.5286681599340903,95000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Health,95000.0
7352,25-34,1.2229345279472723,76000.0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,76000.0
7353,35-44,1.2390257717360522,77000.0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,77000.0
7354,35-44,1.721763085399449,107000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,107000.0
7355,25-34,1.672979797979798,60000.0,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,63600.0
7356,35-44,1.7502858776443682,93000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,73470.0
7357,25-34,1.3550600343053174,72000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,56880.0
7361,25-34,0.7241059704950954,45000.0,5-7 years,2 - 4 years,College degree,Woman,Education,45000.0
7362,45-54,1.2985991995425958,69000.0,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,54510.0
7363,25-34,0.8045621894389949,50000.0,11 - 20 years,5-7 years,College degree,Woman,Health,50000.0
7364,35-44,0.8615091012074869,53539.0,8 - 10 years,5-7 years,College degree,Woman,Health,53539.0
7366,35-44,0.9829979918127751,61089.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,61089.0
7367,35-44,0.9654746273267939,60000.0,5-7 years,5-7 years,College degree,Woman,Education,60000.0
7368,25-34,0.6564905640946422,40798.0,8 - 10 years,8 - 10 years,College degree,Woman,Education,40798.0
7369,45-54,1.2068432841584924,75000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Law,75000.0
7370,35-44,2.1723179114852864,135000.0,5-7 years,5-7 years,PhD,Woman,Technology & Science,135000.0
7371,25-34,0.7160603486007054,44500.0,5-7 years,5-7 years,Master's degree,Woman,Education,44500.0
7372,25-34,0.4344635822970572,27000.0,5-7 years,5-7 years,Master's degree,Woman,Education,27000.0
7373,45-54,1.5447594037228702,96000.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,96000.0
7374,25-34,1.4482119409901908,90000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,90000.0
7375,45-54,0.5214850287067789,32408.0,31 - 40 years,5-7 years,Some college,Woman,Banking & Insurance,32408.0
7376,25-34,0.617903761489148,38400.0,5-7 years,1 year or less,College degree,Woman,Banking & Insurance,38400.0
7377,25-34,1.4803944285677506,92000.0,8 - 10 years,8 - 10 years,College degree,Man,Non profit Organization,92000.0
7378,65 or over,2.365412836950645,147000.0,41 years or more,41 years or more,Master's degree,Woman,Technology & Science,147000.0
7379,25-34,0.9976571149043537,62000.0,11 - 20 years,1 year or less,College degree,Prefer not to answer,Banking & Insurance,62000.0
7380,35-44,0.5020468062099328,31200.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Other,31200.0
7381,55-64,1.4078229190803533,87490.0,31 - 40 years,31 - 40 years,College degree,Woman,Other,87490.0
7382,35-44,0.9976571149043537,62000.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,62000.0
7383,25-34,1.6091243788779899,100000.0,8 - 10 years,1 year or less,Master's degree,Woman,Technology & Science,100000.0
7384,25-34,0.9815658711155738,61000.0,8 - 10 years,1 year or less,College degree,Woman,Consulting,61000.0
7385,65 or over,2.2584333905088623,120000.0,31 - 40 years,21 - 30 years,Master's degree,Woman,Education,94800.0
7386,25-34,0.6034216420792462,37500.0,11 - 20 years,11 - 20 years,College degree,Woman,Culture,37500.0
7387,45-54,0.8367446770165546,52000.0,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,52000.0
7388,55-64,1.57694189130043,98000.0,31 - 40 years,21 - 30 years,College degree,Woman,Banking & Insurance,98000.0
7389,25-34,1.0298396024819134,64000.0,2 - 4 years,2 - 4 years,College degree,Woman,Health,64000.0
7390,25-34,1.3677557220462913,85000.0,5-7 years,5-7 years,PhD,Woman,Education,85000.0
7391,35-44,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,120000.0
7392,25-34,0.9634471306094076,59874.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,59874.0
7393,65 or over,0.5646083476272156,30000.0,41 years or more,11 - 20 years,High School,Woman,Non profit Organization,23700.0
7394,35-44,1.5383229062073582,95600.0,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,95600.0
7395,18-24,0.45055482608583713,28000.0,2 - 4 years,2 - 4 years,College degree,Woman,Education,28000.0
7396,25-34,1.287299503102392,80000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,80000.0
7397,35-44,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,65000.0
7398,35-44,1.57694189130043,98000.0,8 - 10 years,5-7 years,PhD,Man,Banking & Insurance,98000.0
7399,45-54,1.3899938209623852,86382.0,21 - 30 years,21 - 30 years,Master's degree,Man,Industry,86382.0
7400,45-54,2.1723179114852864,135000.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,135000.0
7402,25-34,1.0839642119752237,33000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,41580.0
7403,35-44,0.9525746105236815,29000.0,8 - 10 years,2 - 4 years,College degree,Man,Public & Government,36540.0
7404,45-54,1.2068432841584924,75000.0,11 - 20 years,5-7 years,Some college,Woman,Health,75000.0
7405,25-34,0.8850184083828944,55000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,55000.0
7406,25-34,0.5149198012409567,32000.0,5-7 years,5-7 years,Master's degree,Woman,Health,32000.0
7407,25-34,1.3677557220462913,85000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,85000.0
7409,55-64,1.2390257717360522,77000.0,31 - 40 years,31 - 40 years,Master's degree,Woman,Non profit Organization,77000.0
7410,35-44,0.9011096521716743,56000.0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,56000.0
7411,25-34,0.8206534332277748,51000.0,8 - 10 years,2 - 4 years,College degree,Non-binary,Consulting,51000.0
7412,25-34,0.7080147267063155,44000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,44000.0
7413,35-44,1.6091243788779899,100000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,100000.0
7415,45-54,1.094204577637033,68000.0,21 - 30 years,21 - 30 years,Some college,Woman,Unidentified,68000.0
7416,35-44,0.5689863803712571,35360.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,35360.0
7417,25-34,0.617903761489148,38400.0,5-7 years,1 year or less,College degree,Woman,Banking & Insurance,38400.0
7418,25-34,1.379590815241194,42000.0,2 - 4 years,2 - 4 years,College degree,Woman,Health,52920.0
7419,35-44,1.882675523287248,117000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,117000.0
7420,25-34,1.2068432841584924,75000.0,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,75000.0
7421,35-44,2.4297778121057645,151000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,151000.0
7422,65 or over,1.4643031847789707,91000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,91000.0
7423,25-34,1.2068432841584924,75000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,75000.0
7424,25-34,1.6938250428816466,90000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,71100.0
7425,25-34,0.5406657913030045,33600.0,5-7 years,5-7 years,Some college,Woman,Law,33600.0
7426,25-34,2.494142787260884,155000.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Law,155000.0
7427,25-34,2.1723179114852864,135000.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,135000.0
7428,25-34,1.1292166952544311,60000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,47400.0
7429,25-34,0.8850184083828944,55000.0,8 - 10 years,8 - 10 years,College degree,Woman,Law,55000.0
7430,25-34,1.0459308462706933,65000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,65000.0
7431,25-34,1.4482119409901908,90000.0,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,90000.0
7432,35-44,1.6413068664555497,102000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,102000.0
7433,25-34,0.8528359208053345,53000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Non profit Organization,53000.0
7436,25-34,0.7723797018614351,48000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,48000.0
7437,35-44,1.6573981102443296,103000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Consulting,103000.0
7438,35-44,1.3677557220462913,85000.0,8 - 10 years,8 - 10 years,Some college,Woman,Technology & Science,85000.0
7439,25-34,0.6024561674519193,37440.0,8 - 10 years,1 year or less,Master's degree,Woman,Banking & Insurance,37440.0
7440,25-34,1.1714425478231765,72800.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,72800.0
7441,45-54,1.7502858776443682,93000.0,21 - 30 years,11 - 20 years,Some college,Woman,Education,73470.0
7442,45-54,1.3677557220462913,85000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Consulting,85000.0
7443,35-44,0.9654746273267939,60000.0,11 - 20 years,1 year or less,College degree,Woman,Industry,60000.0
7444,55-64,0.8045621894389949,50000.0,41 years or more,31 - 40 years,Master's degree,Prefer not to answer,Banking & Insurance,50000.0
7445,35-44,1.3677557220462913,85000.0,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,85000.0
7447,35-44,1.0137483586931335,63000.0,8 - 10 years,8 - 10 years,PhD,Woman,Education,63000.0
7448,25-34,0.949383383538014,59000.0,11 - 20 years,2 - 4 years,College degree,Non-binary,Non profit Organization,59000.0
7449,25-34,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,85000.0
7450,35-44,0.48273731366339695,30000.0,11 - 20 years,8 - 10 years,PhD,Woman,Education,30000.0
7451,25-34,1.2036733091321028,74803.0,5-7 years,5-7 years,Master's degree,Woman,Health,74803.0
7452,35-44,0.8367446770165546,52000.0,21 - 30 years,2 - 4 years,College degree,Woman,Health,52000.0
7453,35-44,2.070230607966457,110000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,86900.0
7454,25-34,0.0,23400.0,5-7 years,2 - 4 years,College degree,Woman,Unidentified,24804.0
7455,25-34,0.6034216420792462,37500.0,5-7 years,2 - 4 years,College degree,Non-binary,Non profit Organization,37500.0
7456,35-44,1.287299503102392,80000.0,8 - 10 years,1 year or less,Master's degree,Non-binary,Technology & Science,80000.0
7457,35-44,1.7314655993901278,92000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,72680.0
7458,25-34,0.9332921397492341,58000.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,58000.0
7459,35-44,1.094204577637033,68000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,68000.0
7460,35-44,0.8431811745320666,52400.0,11 - 20 years,11 - 20 years,High School,Woman,Banking & Insurance,52400.0
7461,25-34,0.8206534332277748,51000.0,5-7 years,2 - 4 years,College degree,Woman,Public & Government,51000.0
7462,25-34,1.2068432841584924,75000.0,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,75000.0
7463,35-44,1.3516644782575113,84000.0,5-7 years,5-7 years,PhD,Woman,Education,84000.0
7464,35-44,1.4482119409901908,90000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,90000.0
7465,25-34,1.4321206972014109,89000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,89000.0
7466,25-34,1.094204577637033,68000.0,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,68000.0
7468,55-64,2.161343683221338,134318.0,31 - 40 years,31 - 40 years,Master's degree,Woman,Technology & Science,134318.0
7469,25-34,1.2551170155248321,78000.0,8 - 10 years,8 - 10 years,College degree,Woman,Industry,78000.0
7470,45-54,1.3033907468911716,81000.0,21 - 30 years,11 - 20 years,Master's degree,Prefer not to answer,Health,81000.0
7471,35-44,0.9011096521716743,56000.0,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,56000.0
7472,35-44,1.4803944285677506,92000.0,11 - 20 years,8 - 10 years,PhD,Woman,Public & Government,92000.0
7474,35-44,0.643649751551196,40000.0,11 - 20 years,5-7 years,Master's degree,Woman,Education,40000.0
7475,25-34,0.9424963311964162,58572.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,58572.0
7476,45-54,1.6938250428816466,90000.0,21 - 30 years,8 - 10 years,Some college,Man,Non profit Organization,71100.0
7477,35-44,1.1585695527921527,72000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,72000.0
7478,18-24,1.2174635050590872,75660.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,75660.0
7479,25-34,0.8395445534358024,52174.0,11 - 20 years,2 - 4 years,College degree,Man,Advertising,52174.0
7480,45-54,1.0620220900594732,66000.0,21 - 30 years,5-7 years,Master's degree,Woman,Education,66000.0
7481,35-44,1.4643031847789707,91000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,91000.0
7482,55-64,1.4321206972014109,89000.0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,89000.0
7483,45-54,0.8689271645941145,54000.0,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,54000.0
7485,45-54,1.271208259313612,79000.0,21 - 30 years,21 - 30 years,College degree,Woman,Education,79000.0
7486,25-34,1.6573981102443296,103000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,103000.0
7488,25-34,1.3838469658350712,86000.0,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,86000.0
7489,35-44,1.287299503102392,80000.0,21 - 30 years,8 - 10 years,Master's degree,Woman,Law,80000.0
7491,35-44,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,65000.0
7492,18-24,1.145326459153987,71177.0,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,71177.0
7494,35-44,1.7861280605545686,111000.0,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,111000.0
7496,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,110000.0
7497,45-54,1.6091243788779899,100000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,100000.0
7498,35-44,1.2744791340799602,38800.0,8 - 10 years,2 - 4 years,College degree,Woman,Health,48888.0
7499,35-44,0.8190443088488968,50900.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,50900.0
7500,35-44,1.6091243788779899,100000.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Law,100000.0
7501,45-54,1.6573981102443296,103000.0,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,103000.0
7503,25-34,0.9896114930099638,61500.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,61500.0
7504,25-34,0.8689271645941145,54000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,54000.0
7505,35-44,1.2985991995425958,69000.0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,54510.0
7506,35-44,0.7200831595479005,44750.0,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,44750.0
7507,45-54,1.7700368167657887,110000.0,31 - 40 years,31 - 40 years,Some college,Woman,Law,110000.0
7508,18-24,0.8367446770165546,52000.0,2 - 4 years,1 year or less,College degree,Woman,Public & Government,52000.0
7509,35-44,0.46986431863237305,29200.0,21 - 30 years,5-7 years,College degree,Woman,Culture,29200.0
7510,45-54,1.094204577637033,68000.0,21 - 30 years,11 - 20 years,College degree,Woman,Other,68000.0
7511,25-34,0.8528359208053345,53000.0,8 - 10 years,8 - 10 years,Master's degree,Prefer not to answer,Culture,53000.0
7512,35-44,0.7241059704950954,45000.0,2 - 4 years,2 - 4 years,College degree,Woman,Education,45000.0
7513,35-44,0.8608815426997245,53500.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,53500.0
7514,25-34,0.5094005046214052,31657.0,5-7 years,5-7 years,Some college,Woman,Education,31657.0
7516,35-44,0.8447902989109446,52500.0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,52500.0
7517,35-44,1.4161420921191525,88007.0,11 - 20 years,8 - 10 years,Master's degree,Man,Other,88007.0
7518,35-44,0.6114672639736362,38000.0,11 - 20 years,1 year or less,Master's degree,Woman,Education,38000.0
7519,45-54,2.1723179114852864,135000.0,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,135000.0
7520,35-44,0.643649751551196,40000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,40000.0
7521,25-34,1.1263870652145929,70000.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,70000.0
7522,35-44,1.416029453412631,88000.0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Health,88000.0
7523,25-34,0.8689271645941145,54000.0,8 - 10 years,5-7 years,College degree,Woman,Culture,54000.0
7524,25-34,2.7355114440925825,170000.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,170000.0
7525,35-44,2.687237712726243,167000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,167000.0
7526,25-34,0.9033733562035449,48000.0,2 - 4 years,1 year or less,Master's degree,Woman,Non profit Organization,37920.0
7527,35-44,1.1263870652145929,70000.0,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,70000.0
7528,25-34,0.8206534332277748,51000.0,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,51000.0
7529,25-34,1.3738803125595578,73000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,57670.0
7530,35-44,3.120503034474129,95000.0,11 - 20 years,8 - 10 years,College degree,Woman,Public & Government,119700.0
7531,45-54,1.7700368167657887,110000.0,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,110000.0
7532,45-54,1.4321206972014109,89000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,89000.0
7533,25-34,1.6091243788779899,100000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,100000.0
7534,35-44,1.411520869068039,75000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,59250.0
7535,35-44,1.2068432841584924,75000.0,11 - 20 years,1 year or less,Master's degree,Woman,Consulting,75000.0
7537,45-54,0.6758322391287557,42000.0,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,42000.0
7538,25-34,0.8689271645941145,54000.0,8 - 10 years,8 - 10 years,High School,Woman,Non profit Organization,54000.0
7539,25-34,0.5953760201848562,37000.0,11 - 20 years,5-7 years,College degree,Non-binary,Other,37000.0
7541,25-34,1.2012230798551553,63826.0,5-7 years,5-7 years,Master's degree,Woman,Public & Government,50422.54
7544,25-34,1.016295025728988,54000.0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,42660.0
7545,45-54,2.655055225148683,165000.0,21 - 30 years,21 - 30 years,College degree,Woman,Education,165000.0
7547,35-44,0.7241059704950954,45000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,45000.0
7548,25-34,1.4482119409901908,90000.0,2 - 4 years,2 - 4 years,College degree,Woman,Industry,90000.0
7549,25-34,1.0459308462706933,65000.0,5-7 years,2 - 4 years,Master's degree,Woman,Education,65000.0
7550,25-34,0.7723797018614351,48000.0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,48000.0
7551,35-44,1.1316633314274822,60130.0,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,47502.7
7552,55-64,0.4742089544553436,29470.0,21 - 30 years,8 - 10 years,College degree,Woman,Non profit Organization,29470.0
7553,25-34,1.0298396024819134,64000.0,5-7 years,2 - 4 years,Master's degree,Man,Non profit Organization,64000.0
7554,35-44,0.6041296568059525,37544.0,11 - 20 years,5-7 years,Master's degree,Woman,Culture,37544.0
7555,35-44,1.9379966214102486,59000.0,21 - 30 years,21 - 30 years,College degree,Woman,Education,74340.0
7556,25-34,1.3033907468911716,81000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,81000.0
7557,45-54,1.287299503102392,80000.0,21 - 30 years,5-7 years,Some college,Woman,Banking & Insurance,80000.0
7558,35-44,1.8551089876530247,80000.0,11 - 20 years,11 - 20 years,PhD,Man,Education,84800.0
7559,25-34,2.494142787260884,155000.0,8 - 10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,155000.0
7560,35-44,0.9204191447182102,57200.0,11 - 20 years,1 year or less,Master's degree,Woman,Public & Government,57200.0
7561,35-44,1.5447594037228702,96000.0,11 - 20 years,5-7 years,College degree,Woman,Education,96000.0
7562,35-44,2.1723179114852864,135000.0,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,135000.0
7563,45-54,0.9976571149043537,62000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,62000.0
7564,25-34,1.3194819906799515,82000.0,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,82000.0
7565,45-54,2.0114054735974873,125000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,125000.0
7566,35-44,1.4587677969156305,90656.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,90656.0
7567,25-34,0.7241059704950954,45000.0,5-7 years,2 - 4 years,PhD,Woman,Education,45000.0
7568,45-54,0.8367446770165546,52000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,52000.0
7569,25-34,1.4482119409901908,90000.0,2 - 4 years,2 - 4 years,PhD,Woman,Health,90000.0
7570,45-54,0.9654746273267939,60000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Law,60000.0
7571,18-24,0.9332921397492341,58000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,58000.0
7572,35-44,1.7861280605545686,111000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,111000.0
7573,25-34,0.7241059704950954,45000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,45000.0
7574,25-34,1.1756084589876745,35790.0,5-7 years,5-7 years,College degree,Woman,Public & Government,45095.4
7575,45-54,1.3007570543702685,39600.0,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,49896.0
7576,25-34,1.737854329188229,108000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,108000.0
7577,25-34,0.8721454133518705,54200.0,5-7 years,2 - 4 years,Master's degree,Woman,Health,54200.0
7578,35-44,1.3174194777968362,70000.0,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,55300.0
7579,35-44,1.551646456064468,96428.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Health,96428.0
7580,25-34,0.9976571149043537,62000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Culture,62000.0
7581,25-34,1.3677557220462913,85000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,85000.0
7582,25-34,0.7723797018614351,48000.0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,48000.0
7583,35-44,2.1472561310898497,121000.0,21 - 30 years,5-7 years,College degree,Woman,Public & Government,85910.0
7584,65 or over,0.8045621894389949,50000.0,41 years or more,11 - 20 years,College degree,Woman,Public & Government,50000.0
7585,35-44,1.2309801498416622,76500.0,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,76500.0
7586,35-44,0.8069724096290657,34800.0,21 - 30 years,2 - 4 years,PhD,Woman,Banking & Insurance,36888.0
7587,25-34,1.1424783090033728,71000.0,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,71000.0
7588,35-44,1.882027825424052,100000.0,11 - 20 years,11 - 20 years,College degree,Prefer not to answer,Health,79000.0
7589,25-34,1.7539455729770088,109000.0,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,109000.0
7590,25-34,2.9171431294072803,155000.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,122450.0
7591,35-44,1.0378852243763035,64500.0,5-7 years,5-7 years,PhD,Woman,Other,64500.0
7592,35-44,1.3033907468911716,81000.0,11 - 20 years,8 - 10 years,Master's degree,Non-binary,Non profit Organization,81000.0
7593,25-34,0.7363401739348058,22417.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,28245.42
7594,25-34,1.4482119409901908,90000.0,5-7 years,5-7 years,College degree,Woman,Industry,90000.0
7595,35-44,0.8447902989109446,52500.0,11 - 20 years,11 - 20 years,College degree,Woman,Other,52500.0
