,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
2264,1,1.0459308462706933,8 - 10 years,11 - 20 years,College degree,Education,65000.0
2265,2,2.1723179114852864,5-7 years,5-7 years,Master's degree,Law,125000.0
2266,1,1.4482119409901908,11 - 20 years,5-7 years,Some college,Health,75000.0
2267,3,0.7401972142838753,2 - 4 years,2 - 4 years,Master's degree,Social,46000.0
2268,0,2.357367215056255,11 - 20 years,11 - 20 years,College degree,Public & Government,146500.0
2269,0,0.6195128858680261,2 - 4 years,1 year or less,College degree,Technology & Science,35000.0
2270,0,0.8045621894389949,11 - 20 years,8 - 10 years,College degree,Health,50000.0
2271,2,0.4875646868000309,2 - 4 years,2 - 4 years,College degree,Education,30300.0
2272,0,0.9654746273267939,8 - 10 years,8 - 10 years,Some college,Non profit Organization,60000.0
2273,2,0.8486521974202518,5-7 years,5-7 years,Master's degree,Public & Government,52740.0
2274,2,3.5561648773203576,5-7 years,5-7 years,College degree,Technology & Science,196000.0
2275,0,1.411520869068039,31 - 40 years,31 - 40 years,College degree,Non profit Organization,59250.0
2276,4,1.2551170155248321,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,78000.0
2277,0,1.1263870652145929,11 - 20 years,2 - 4 years,College degree,Technology & Science,70000.0
2278,1,2.574599006204784,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,140000.0
2279,0,0.5149198012409567,8 - 10 years,2 - 4 years,College degree,Law,30000.0
2280,3,1.110295821425813,2 - 4 years,2 - 4 years,Master's degree,Non profit Organization,69000.0
2281,1,2.220591642851626,5-7 years,5-7 years,Master's degree,Health,115000.0
2282,0,1.1263870652145929,8 - 10 years,2 - 4 years,Master's degree,Technology & Science,70000.0
2283,2,1.7700368167657887,8 - 10 years,5-7 years,College degree,Industry,110000.0
2284,2,0.8367446770165546,2 - 4 years,2 - 4 years,College degree,Education,52000.0
2285,0,1.9070421193062703,11 - 20 years,8 - 10 years,College degree,Industry,75050.0
2286,1,1.0298396024819134,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,64000.0
2287,3,2.655055225148683,2 - 4 years,2 - 4 years,PhD,Law,150000.0
2288,0,0.8731591617105636,11 - 20 years,8 - 10 years,Master's degree,Public & Government,53863.0
2289,0,1.094204577637033,11 - 20 years,8 - 10 years,Master's degree,Education,68000.0
2290,0,1.7861280605545686,21 - 30 years,21 - 30 years,College degree,Law,105000.0
2291,2,1.5286681599340903,8 - 10 years,5-7 years,College degree,Banking & Insurance,85000.0
2292,1,0.7655570144949925,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Non profit Organization,47076.0
2293,4,2.9286063695579414,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Law,167000.0
2294,4,0.9011096521716743,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,56000.0
2295,2,0.8045621894389949,8 - 10 years,5-7 years,College degree,Industry,50000.0
2296,1,1.0459308462706933,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,65000.0
2297,0,0.9735202492211839,11 - 20 years,11 - 20 years,College degree,Education,60500.0
2298,2,0.38618985093071756,5-7 years,2 - 4 years,College degree,Non profit Organization,24000.0
2299,4,1.287299503102392,21 - 30 years,21 - 30 years,Master's degree,Public & Government,80000.0
2300,4,0.7361744033366804,21 - 30 years,8 - 10 years,Master's degree,Banking & Insurance,45750.0
2301,2,1.094204577637033,5-7 years,5-7 years,PhD,Education,68000.0
2302,4,1.287299503102392,21 - 30 years,2 - 4 years,PhD,Public & Government,80000.0
2303,0,1.3838469658350712,8 - 10 years,8 - 10 years,PhD,Public & Government,86000.0
2304,0,1.633283455403005,21 - 30 years,11 - 20 years,College degree,Technology & Science,64660.0
2305,0,1.876239025771736,11 - 20 years,2 - 4 years,College degree,Technology & Science,81600.0
2306,3,2.207783012795757,8 - 10 years,8 - 10 years,Master's degree,Public & Government,133452.0
2307,0,1.416029453412631,11 - 20 years,11 - 20 years,College degree,Consulting,87000.0
2308,3,2.574599006204784,2 - 4 years,2 - 4 years,College degree,Other,145000.0
2309,2,0.7007736670013646,5-7 years,2 - 4 years,College degree,Education,43550.0
2310,2,0.6726139903709998,5-7 years,5-7 years,Master's degree,Non profit Organization,41800.0
2311,0,3.0573363198681807,11 - 20 years,8 - 10 years,College degree,Consulting,165000.0
2312,0,1.3355732344687314,8 - 10 years,2 - 4 years,College degree,Non profit Organization,75000.0
2313,1,1.4482119409901908,21 - 30 years,11 - 20 years,Master's degree,Public & Government,90000.0
2314,2,2.1803635333796763,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Health,135000.0
2315,3,2.333230349373085,21 - 30 years,21 - 30 years,Master's degree,Public & Government,145000.0
2316,1,0.9477742591591359,11 - 20 years,1 year or less,Master's degree,Education,58900.0
2317,0,1.3677557220462913,8 - 10 years,2 - 4 years,College degree,Other,73000.0
2318,3,0.8850184083828944,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Health,55000.0
2319,0,1.6091243788779899,21 - 30 years,21 - 30 years,College degree,Human Ressources,100000.0
2320,1,1.5056222603392415,11 - 20 years,11 - 20 years,Master's degree,Education,63200.0
2321,3,0.5937668958059782,8 - 10 years,2 - 4 years,College degree,Public & Government,35500.0
2322,4,3.958445972039855,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Law,246000.0
2323,3,0.9011096521716743,5-7 years,2 - 4 years,Master's degree,Other,56000.0
2324,4,5.310110450297366,21 - 30 years,11 - 20 years,Some college,Technology & Science,110000.0
2325,4,1.2551170155248321,21 - 30 years,21 - 30 years,Master's degree,Education,75000.0
2326,4,1.7700368167657887,21 - 30 years,11 - 20 years,College degree,Consulting,80000.0
2327,1,3.3791611956437784,11 - 20 years,11 - 20 years,Master's degree,Advertising,160000.0
2328,1,1.1424783090033728,41 years or more,31 - 40 years,Master's degree,Education,71000.0
2329,4,2.0918616925413867,21 - 30 years,8 - 10 years,Master's degree,Technology & Science,65000.0
2330,0,1.5125769161453104,11 - 20 years,8 - 10 years,Master's degree,Public & Government,94000.0
2331,0,2.4619602996833243,2 - 4 years,2 - 4 years,College degree,Technology & Science,138000.0
2332,3,0.6919234829175356,2 - 4 years,2 - 4 years,Master's degree,Culture,43000.0
2333,1,1.898766767076028,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,114000.0
2334,1,1.3838469658350712,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,62400.0
2335,2,1.898766767076028,5-7 years,2 - 4 years,PhD,Industry,100000.0
2336,2,1.914858010864808,5-7 years,5-7 years,PhD,Other,109000.0
2337,2,1.5438278170556217,5-7 years,5-7 years,College degree,Education,59220.0
2338,1,1.096634355449139,11 - 20 years,11 - 20 years,College degree,Health,64906.0
2339,0,1.1360418114878608,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,63600.0
2340,1,1.9309492546535878,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,120000.0
2341,0,1.4803944285677506,21 - 30 years,11 - 20 years,College degree,Consulting,92000.0
2342,0,0.6275585077624161,11 - 20 years,8 - 10 years,College degree,Culture,39000.0
2343,0,1.4048299477356403,11 - 20 years,8 - 10 years,Master's degree,Public & Government,87304.0
2344,0,2.3010478617955252,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,143000.0
2345,1,0.7085663889340172,11 - 20 years,5-7 years,Master's degree,Non profit Organization,36636.0
2346,3,0.9252465178548441,2 - 4 years,2 - 4 years,College degree,Human Ressources,56500.0
2347,2,0.788470945650215,8 - 10 years,5-7 years,Master's degree,Education,49000.0
2348,0,0.49882855745217686,1 year or less,1 year or less,College degree,Non profit Organization,31000.0
2349,2,1.6091243788779899,5-7 years,5-7 years,Master's degree,Non profit Organization,100000.0
2350,4,0.8528359208053345,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,53000.0
2351,1,4.022810947194975,11 - 20 years,11 - 20 years,Some college,Health,200000.0
2352,2,1.6815349759274993,8 - 10 years,5-7 years,College degree,Other,87500.0
2353,3,1.6413068664555497,2 - 4 years,2 - 4 years,Master's degree,Education,102000.0
2354,1,0.9815658711155738,11 - 20 years,11 - 20 years,Some college,Health,58000.0
2355,0,0.8206534332277748,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,51000.0
2356,2,1.4027063083666858,8 - 10 years,5-7 years,College degree,Culture,56880.0
2357,2,1.88106639890837,5-7 years,5-7 years,College degree,Industry,114400.0
2358,1,1.1263870652145929,11 - 20 years,11 - 20 years,Master's degree,Advertising,45000.0
2359,3,1.1746607965809326,2 - 4 years,2 - 4 years,PhD,Education,73000.0
2360,3,1.3355732344687314,8 - 10 years,2 - 4 years,Master's degree,Consulting,83000.0
2361,1,1.3838469658350712,11 - 20 years,11 - 20 years,Master's degree,Health,86000.0
2362,2,1.1328235627301049,5-7 years,2 - 4 years,Master's degree,Education,70400.0
2363,0,1.5608506475116501,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,85000.0
2364,2,1.721763085399449,21 - 30 years,5-7 years,College degree,Banking & Insurance,100000.0
2365,2,1.5447594037228702,5-7 years,5-7 years,Master's degree,Technology & Science,91000.0
2366,1,0.8174351844700188,11 - 20 years,11 - 20 years,Master's degree,Education,50800.0
2367,4,2.8964238819803816,21 - 30 years,11 - 20 years,Some college,Technology & Science,175000.0
2368,4,2.067435184470019,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,116802.0
2369,1,1.0137483586931335,11 - 20 years,11 - 20 years,Master's degree,Education,63000.0
2370,0,0.9332921397492341,11 - 20 years,8 - 10 years,Master's degree,Education,54000.0
2371,2,1.6107335032568677,5-7 years,5-7 years,Master's degree,Industry,100100.0
2372,4,0.7031229885945264,8 - 10 years,8 - 10 years,Master's degree,Education,43696.0
2373,4,1.3677557220462913,21 - 30 years,21 - 30 years,Some college,Law,80000.0
2374,2,0.8850184083828944,8 - 10 years,5-7 years,College degree,Banking & Insurance,55000.0
2375,3,0.45055482608583713,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,28000.0
2376,0,0.7562884580726552,11 - 20 years,11 - 20 years,College degree,Law,47000.0
2377,4,0.7723797018614351,8 - 10 years,8 - 10 years,Master's degree,Culture,48000.0
2378,2,2.541149292520936,5-7 years,5-7 years,PhD,Public & Government,38160.0
2379,2,0.8930640302772843,5-7 years,5-7 years,College degree,Unidentified,53000.0
2380,0,2.0918616925413867,11 - 20 years,8 - 10 years,College degree,Technology & Science,130000.0
2381,2,0.7166235421333128,5-7 years,5-7 years,Master's degree,Culture,44335.0
2382,0,1.4803944285677506,11 - 20 years,11 - 20 years,College degree,Industry,90000.0
2383,1,0.8729499755413095,11 - 20 years,5-7 years,Master's degree,Public & Government,54250.0
2384,0,2.5102340310496642,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Public & Government,156000.0
2385,0,3.0573363198681807,11 - 20 years,11 - 20 years,College degree,Technology & Science,150000.0
2386,1,1.1698334234442986,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,72700.0
2387,4,1.2068432841584924,8 - 10 years,8 - 10 years,Master's degree,Education,75000.0
2388,1,0.6597409953399758,11 - 20 years,5-7 years,Master's degree,Culture,41000.0
2389,3,3.3791611956437784,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Law,190000.0
2390,0,1.882675523287248,21 - 30 years,21 - 30 years,College degree,Industry,117000.0
2391,0,2.1815703766638346,11 - 20 years,5-7 years,College degree,Technology & Science,123250.0
2392,4,0.7363353157745681,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,45760.0
2393,2,2.494142787260884,5-7 years,5-7 years,College degree,Consulting,155000.0
2394,0,1.6091243788779899,11 - 20 years,8 - 10 years,College degree,Unidentified,100000.0
2395,1,2.333230349373085,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,135000.0
2396,1,1.56889626940604,8 - 10 years,5-7 years,Master's degree,Industry,97500.0
2397,4,1.2482012137896517,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,47880.0
2398,0,0.956022489041357,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,37130.0
2399,1,1.6317181246426529,11 - 20 years,11 - 20 years,Master's degree,Health,68493.0
2400,2,0.5584058061690547,5-7 years,5-7 years,High School,Non profit Organization,21420.0
2401,0,1.7700368167657887,21 - 30 years,8 - 10 years,College degree,Industry,100000.0
2402,0,2.212546020957236,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,125000.0
2403,0,2.1723179114852864,21 - 30 years,11 - 20 years,College degree,Technology & Science,120000.0
2404,4,1.416029453412631,31 - 40 years,21 - 30 years,Master's degree,Technology & Science,88000.0
2405,1,2.762718932443703,11 - 20 years,11 - 20 years,Master's degree,Law,47700.0
2406,0,1.4365351629502572,11 - 20 years,5-7 years,College degree,Technology & Science,55300.0
2407,3,0.7057604345340195,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,29625.0
2408,4,1.3194819906799515,8 - 10 years,8 - 10 years,Master's degree,Education,82000.0
2409,1,0.7080147267063155,11 - 20 years,2 - 4 years,Master's degree,Non profit Organization,38000.0
2410,1,1.737854329188229,11 - 20 years,11 - 20 years,Master's degree,Public & Government,108000.0
2411,0,0.4183723385082773,8 - 10 years,2 - 4 years,College degree,Other,26000.0
2412,2,1.8344017919209084,31 - 40 years,31 - 40 years,College degree,Education,114000.0
2413,2,1.2296445766071935,8 - 10 years,5-7 years,College degree,Agriculture & Food,69470.0
2414,0,1.5286681599340903,11 - 20 years,11 - 20 years,College degree,Industry,95000.0
2415,3,2.188409155274066,8 - 10 years,2 - 4 years,Master's degree,Consulting,130000.0
2416,0,1.3194819906799515,11 - 20 years,5-7 years,College degree,Technology & Science,82000.0
2417,0,1.2068432841584924,8 - 10 years,2 - 4 years,College degree,Human Ressources,75000.0
2418,0,1.4482119409901908,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,90000.0
2419,2,0.941337761643624,5-7 years,5-7 years,College degree,Non profit Organization,58500.0
2420,2,1.129846295021794,5-7 years,5-7 years,Master's degree,Culture,42840.0
2421,1,2.8964238819803816,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Health,180000.0
2422,1,1.5286681599340903,11 - 20 years,11 - 20 years,Master's degree,Health,87000.0
2423,2,1.1022501995314231,5-7 years,5-7 years,Master's degree,Education,68500.0
2424,3,1.7700368167657887,8 - 10 years,2 - 4 years,Master's degree,Other,110000.0
2425,0,2.2527741304291857,11 - 20 years,8 - 10 years,PhD,Education,140000.0
2426,2,0.8511946139388791,8 - 10 years,5-7 years,College degree,Non profit Organization,46698.0
2427,1,1.0733342344429855,11 - 20 years,11 - 20 years,Master's degree,Other,66703.0
2428,2,0.941013912712026,5-7 years,5-7 years,College degree,Health,39500.0
2429,0,0.7595067068304112,11 - 20 years,8 - 10 years,Master's degree,Social,47000.0
2430,1,2.655055225148683,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,165000.0
2431,2,0.643649751551196,5-7 years,5-7 years,Master's degree,Non profit Organization,40000.0
2432,1,0.9011096521716743,11 - 20 years,11 - 20 years,Master's degree,Culture,56000.0
2433,1,1.4482119409901908,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,80000.0
2434,0,0.7080147267063155,11 - 20 years,5-7 years,College degree,Culture,43000.0
2435,0,2.0918616925413867,21 - 30 years,21 - 30 years,College degree,Non profit Organization,130000.0
2436,0,2.477606251191157,11 - 20 years,8 - 10 years,Master's degree,Industry,79000.0
2437,0,2.960788857135501,21 - 30 years,21 - 30 years,College degree,Technology & Science,149000.0
2438,0,2.2192399783733685,11 - 20 years,11 - 20 years,College degree,Technology & Science,122577.0
2439,2,0.7434154630416313,21 - 30 years,2 - 4 years,Master's degree,Education,45000.0
2440,2,3.556794358681151,8 - 10 years,5-7 years,College degree,Law,134300.0
2441,0,2.0114054735974873,11 - 20 years,8 - 10 years,Master's degree,Human Ressources,125000.0
2442,2,0.9654746273267939,21 - 30 years,21 - 30 years,PhD,Education,60000.0
2443,2,1.2551170155248321,5-7 years,5-7 years,College degree,Technology & Science,72000.0
2444,2,1.2229345279472723,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,76000.0
2445,0,0.5149198012409567,31 - 40 years,31 - 40 years,College degree,Unidentified,32000.0
2446,0,0.9494638397569579,11 - 20 years,8 - 10 years,College degree,Law,49005.0
2447,0,1.3516644782575113,8 - 10 years,8 - 10 years,College degree,Advertising,84000.0
2448,1,1.0701239903277255,21 - 30 years,11 - 20 years,Unknown,Education,41600.0
2449,2,1.6895805978218892,5-7 years,5-7 years,Some college,Technology & Science,105000.0
2450,0,1.1263870652145929,5-7 years,5-7 years,Master's degree,Unidentified,70000.0
2451,1,1.399938209623851,11 - 20 years,11 - 20 years,Some college,Unidentified,87000.0
2452,2,0.9011096521716743,5-7 years,5-7 years,Unknown,Education,56000.0
2453,3,1.4803944285677506,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,87000.0
2454,2,0.6483162122499421,5-7 years,5-7 years,College degree,Health,40040.0
2455,1,1.57694189130043,11 - 20 years,11 - 20 years,Master's degree,Law,95000.0
2456,1,1.6493524883499395,11 - 20 years,11 - 20 years,Master's degree,Health,101000.0
2457,3,0.877149790170181,5-7 years,2 - 4 years,Master's degree,Culture,54511.0
2458,3,0.8367446770165546,2 - 4 years,2 - 4 years,College degree,Health,52000.0
2459,0,1.0040936124198656,11 - 20 years,11 - 20 years,High School,Technology & Science,62400.0
2460,0,0.5020468062099328,11 - 20 years,11 - 20 years,College degree,Non profit Organization,31200.0
2461,4,1.58498751319482,21 - 30 years,21 - 30 years,Master's degree,Culture,98500.0
2462,0,1.087768080121521,11 - 20 years,8 - 10 years,Unknown,Education,67000.0
2463,2,0.7241059704950954,2 - 4 years,2 - 4 years,College degree,Education,45000.0
2464,3,0.8206534332277748,5-7 years,2 - 4 years,Master's degree,Law,50000.0
2465,0,0.6614481011074267,8 - 10 years,8 - 10 years,Some college,Public & Government,25372.62
2466,3,1.4868309260832626,2 - 4 years,2 - 4 years,PhD,Technology & Science,84000.0
2467,2,0.6604329188228933,5-7 years,5-7 years,Master's degree,Non profit Organization,41043.0
2468,2,1.0459308462706933,2 - 4 years,2 - 4 years,College degree,Education,55000.0
2469,0,2.655055225148683,8 - 10 years,11 - 20 years,PhD,Technology & Science,129000.0
2470,3,0.7576909841706814,2 - 4 years,2 - 4 years,PhD,Education,29064.42
2471,2,0.8069436935197343,5-7 years,5-7 years,Master's degree,Non profit Organization,50148.0
2472,1,0.7562884580726552,8 - 10 years,5-7 years,Master's degree,Non profit Organization,47000.0
2473,2,0.9815658711155738,5-7 years,5-7 years,College degree,Advertising,61000.0
2474,2,1.0137483586931335,8 - 10 years,5-7 years,College degree,Non profit Organization,63000.0
2475,0,0.8540324094350248,1 year or less,1 year or less,College degree,Banking & Insurance,32760.0
2476,1,1.7049364950259651,11 - 20 years,11 - 20 years,High School,Banking & Insurance,50400.0
2477,0,1.166084163641513,11 - 20 years,8 - 10 years,College degree,Public & Government,72467.0
2478,4,1.165017795741087,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,92700.0
2479,3,1.3033907468911716,5-7 years,2 - 4 years,Master's degree,Public & Government,81000.0
2480,2,1.094204577637033,8 - 10 years,5-7 years,College degree,Banking & Insurance,66000.0
2481,4,1.0620220900594732,8 - 10 years,8 - 10 years,Master's degree,Unidentified,60000.0
2482,3,1.2068432841584924,2 - 4 years,2 - 4 years,Master's degree,Culture,70000.0
2483,1,1.8352063541103474,31 - 40 years,31 - 40 years,Master's degree,Education,114050.0
2484,4,1.2390257717360522,8 - 10 years,8 - 10 years,Master's degree,Consulting,71000.0
2485,0,0.7668121315105173,31 - 40 years,31 - 40 years,College degree,Banking & Insurance,45654.0
2486,1,0.8472543744395087,1 year or less,1 year or less,Master's degree,Other,31500.0
2487,1,1.9179636209160424,11 - 20 years,11 - 20 years,Master's degree,Education,101441.0
2488,1,1.8022193043433485,8 - 10 years,8 - 10 years,Master's degree,Health,112000.0
2489,0,1.399938209623851,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Education,87000.0
2490,1,1.149659012700995,8 - 10 years,5-7 years,Master's degree,Industry,44100.0
2491,1,0.8922594680878453,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Health,55450.0
2492,0,2.0918616925413867,11 - 20 years,11 - 20 years,College degree,Law,100000.0
2493,2,2.413686568316985,8 - 10 years,5-7 years,PhD,Education,150000.0
2494,0,3.5002056370811787,11 - 20 years,8 - 10 years,College degree,Advertising,160000.0
2495,1,0.8850184083828944,11 - 20 years,11 - 20 years,Some college,Non profit Organization,55000.0
2496,1,1.0298396024819134,11 - 20 years,11 - 20 years,Master's degree,Industry,64000.0
2497,2,1.2551170155248321,8 - 10 years,5-7 years,College degree,Non profit Organization,72000.0
2498,2,1.2390257717360522,5-7 years,5-7 years,Master's degree,Industry,77000.0
2499,0,0.9976571149043537,11 - 20 years,5-7 years,College degree,Banking & Insurance,60000.0
2500,0,1.2810486141525372,11 - 20 years,11 - 20 years,College degree,Education,49140.0
2501,2,1.3015493278651173,5-7 years,5-7 years,College degree,Health,75260.0
2502,0,1.1263870652145929,11 - 20 years,5-7 years,College degree,Non profit Organization,70000.0
2503,1,2.574599006204784,11 - 20 years,11 - 20 years,Master's degree,Industry,140000.0
2504,2,1.1937932854457918,8 - 10 years,5-7 years,College degree,Human Ressources,66189.0
2505,2,1.0137483586931335,5-7 years,5-7 years,PhD,Education,60000.0
2506,3,0.5068741793465668,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,31200.0
2507,3,1.6091243788779899,5-7 years,2 - 4 years,Master's degree,Unidentified,100000.0
2508,0,1.4482119409901908,5-7 years,8 - 10 years,College degree,Banking & Insurance,90000.0
2509,2,0.45055482608583713,5-7 years,5-7 years,College degree,Education,28000.0
2510,2,0.47425722818670996,2 - 4 years,2 - 4 years,College degree,Education,29473.0
2511,1,1.3838469658350712,11 - 20 years,11 - 20 years,Master's degree,Public & Government,86000.0
2512,1,1.0057027367987437,21 - 30 years,11 - 20 years,Master's degree,Culture,62500.0
2513,3,0.8528359208053345,2 - 4 years,2 - 4 years,College degree,Advertising,53000.0
2514,1,0.7853653355989805,8 - 10 years,5-7 years,Master's degree,Non profit Organization,48807.0
2515,2,1.0137483586931335,5-7 years,5-7 years,College degree,Banking & Insurance,50000.0
2516,0,0.7401972142838753,2 - 4 years,1 year or less,College degree,Non profit Organization,46000.0
2517,4,1.271208259313612,1 year or less,1 year or less,Master's degree,Technology & Science,79000.0
2518,0,1.3516644782575113,11 - 20 years,11 - 20 years,College degree,Construction,80000.0
2519,1,2.0114054735974873,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,125000.0
2520,0,1.271208259313612,5-7 years,2 - 4 years,College degree,Technology & Science,75000.0
2521,0,0.9722830507414129,11 - 20 years,11 - 20 years,College degree,Unidentified,37296.0
2522,0,1.5447594037228702,11 - 20 years,11 - 20 years,College degree,Consulting,96000.0
2523,0,0.4893990885919518,8 - 10 years,8 - 10 years,College degree,Public & Government,30414.0
2524,3,1.7967527998498405,5-7 years,2 - 4 years,Master's degree,Public & Government,68922.0
2525,0,1.8344017919209084,8 - 10 years,8 - 10 years,College degree,Technology & Science,99000.0
2526,2,1.8183105481321284,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,113000.0
2527,2,0.9332921397492341,11 - 20 years,5-7 years,PhD,Education,58000.0
2528,0,1.110295821425813,11 - 20 years,11 - 20 years,College degree,Non profit Organization,69000.0
2529,0,0.5792847763960763,11 - 20 years,8 - 10 years,Some college,Retail,36000.0
2530,0,0.5631935326072964,8 - 10 years,2 - 4 years,College degree,Health,35000.0
2531,1,1.1585695527921527,5-7 years,2 - 4 years,Master's degree,Health,72000.0
2532,2,0.755490208346368,5-7 years,5-7 years,College degree,Culture,28980.0
2533,1,0.6018125177003681,11 - 20 years,11 - 20 years,High School,Health,37400.0
2534,1,1.59303313508921,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,95000.0
2535,0,0.9654746273267939,11 - 20 years,11 - 20 years,College degree,Education,60000.0
2536,0,1.8780895188074458,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,116715.0
2537,4,0.8046104631703612,21 - 30 years,8 - 10 years,Master's degree,Education,50003.0
2538,0,2.1240441801189465,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Industry,120000.0
2539,0,0.8206534332277748,11 - 20 years,11 - 20 years,College degree,Education,51000.0
2540,1,1.363332726058177,8 - 10 years,5-7 years,Master's degree,Unidentified,33920.0
2541,2,1.1292166952544311,8 - 10 years,5-7 years,College degree,Non profit Organization,47400.0
2542,3,0.8850184083828944,2 - 4 years,2 - 4 years,College degree,Consulting,53000.0
2543,0,2.2584333905088623,11 - 20 years,8 - 10 years,Some college,Advertising,94800.0
2544,2,0.7607940063335136,5-7 years,5-7 years,Some college,Health,43680.0
2545,3,1.1388095054195309,5-7 years,2 - 4 years,Master's degree,Construction,64272.0
2546,3,1.271208259313612,8 - 10 years,2 - 4 years,Master's degree,Public & Government,74000.0
2547,1,1.271208259313612,11 - 20 years,11 - 20 years,PhD,Non profit Organization,79000.0
2548,2,0.6359259545325816,5-7 years,2 - 4 years,College degree,Health,39520.0
2549,1,2.4619602996833243,11 - 20 years,5-7 years,Master's degree,Consulting,148000.0
2550,0,1.480587523493216,8 - 10 years,8 - 10 years,College degree,Human Ressources,90762.0
2551,4,1.8504930357096883,8 - 10 years,8 - 10 years,Master's degree,Culture,90000.0
2552,1,2.7732454107772715,31 - 40 years,31 - 40 years,Master's degree,Industry,149865.0
2553,0,2.7516026878813626,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,121000.0
2554,3,0.8303081795010427,2 - 4 years,2 - 4 years,Master's degree,Education,51000.0
2555,1,0.8689271645941145,31 - 40 years,31 - 40 years,Some college,Health,54000.0
2556,2,1.3473018206844773,5-7 years,2 - 4 years,College degree,Education,51681.42
2557,0,1.1263870652145929,8 - 10 years,2 - 4 years,College degree,Other,70000.0
2558,3,3.298704976699879,2 - 4 years,2 - 4 years,PhD,Health,145000.0
2559,0,1.7700368167657887,11 - 20 years,8 - 10 years,College degree,Other,98000.0
2560,2,0.7723797018614351,5-7 years,5-7 years,Some college,Health,48000.0
2561,1,1.0701239903277255,21 - 30 years,11 - 20 years,Unknown,Education,41600.0
2562,1,2.1240441801189465,11 - 20 years,11 - 20 years,Some college,Health,132000.0
2563,3,1.4803944285677506,2 - 4 years,2 - 4 years,College degree,Industry,92000.0
2564,0,3.0573363198681807,8 - 10 years,8 - 10 years,College degree,Advertising,175000.0
2565,3,1.624250148039443,8 - 10 years,2 - 4 years,Master's degree,Banking & Insurance,100940.0
2566,3,1.0897794855951186,2 - 4 years,2 - 4 years,College degree,Advertising,63000.0
2567,2,0.7241059704950954,11 - 20 years,5-7 years,Master's degree,Education,43000.0
2568,0,1.5286681599340903,11 - 20 years,8 - 10 years,PhD,Non profit Organization,95000.0
2569,1,2.4842767295597485,11 - 20 years,11 - 20 years,Master's degree,Public & Government,104280.0
2570,4,1.8665842794984682,8 - 10 years,8 - 10 years,Master's degree,Advertising,105000.0
2571,2,0.8608815426997245,5-7 years,5-7 years,Master's degree,Other,48500.0
2572,2,0.788470945650215,5-7 years,5-7 years,Master's degree,Education,45000.0
2573,0,1.1263870652145929,5-7 years,2 - 4 years,College degree,Construction,70000.0
2574,2,1.2068432841584924,5-7 years,5-7 years,College degree,Banking & Insurance,70000.0
2575,1,2.2270281403671377,11 - 20 years,11 - 20 years,PhD,Advertising,135400.0
2576,1,1.8504930357096883,8 - 10 years,8 - 10 years,Master's degree,Health,115000.0
