,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
6461,3,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
6462,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
6463,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
6464,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6465,1,5-7 years,5-7 years,Some college,Woman,Health,bad payed
6466,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,very well payed
6467,1,8 - 10 years,8 - 10 years,College degree,Woman,Culture,very bad payed 
6468,0,21 - 30 years,11 - 20 years,High School,Woman,Public & Government,well payed
6469,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
6470,1,11 - 20 years,1 year or less,College degree,Man,Banking & Insurance,bad payed
6471,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed
6472,0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
6474,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,bad payed
6476,3,11 - 20 years,5-7 years,PhD,Woman,Technology & Science,well payed
6477,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Health,bad payed
6478,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed
6479,3,31 - 40 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
6480,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
6481,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
6482,2,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
6483,1,5-7 years,5-7 years,College degree,Woman,Law,bad payed
6484,4,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
6485,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed
6486,0,5-7 years,5-7 years,Master's degree,Woman,Other,well payed
6487,4,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
6489,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
6490,1,5-7 years,2 - 4 years,Some college,Woman,Non profit Organization,bad payed
6491,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed
6492,0,2 - 4 years,2 - 4 years,PhD,Woman,Other,well payed
6493,1,8 - 10 years,5-7 years,College degree,Woman,Industry,bad payed
6494,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
6495,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed
6496,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
6497,0,8 - 10 years,5-7 years,Master's degree,Non-binary,Consulting,well payed
6498,2,5-7 years,2 - 4 years,College degree,Man,Technology & Science,well payed
6499,1,2 - 4 years,2 - 4 years,College degree,Man,Public & Government,bad payed
6500,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
6501,3,21 - 30 years,11 - 20 years,College degree,Woman,Industry,well payed
6502,3,21 - 30 years,11 - 20 years,College degree,Woman,Health,well payed
6503,2,2 - 4 years,2 - 4 years,PhD,Non-binary,Technology & Science,very well payed
6504,4,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,very well payed
6505,3,41 years or more,8 - 10 years,College degree,Woman,Other,well payed
6506,1,21 - 30 years,8 - 10 years,College degree,Woman,Non profit Organization,very well payed
6507,1,2 - 4 years,2 - 4 years,College degree,Non-binary,Consulting,bad payed
6508,1,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
6509,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
6510,1,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
6511,4,11 - 20 years,8 - 10 years,College degree,Woman,Culture,very well payed
6512,3,2 - 4 years,1 year or less,College degree,Woman,Advertising,well payed
6513,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
6514,3,11 - 20 years,5-7 years,College degree,Woman,Industry,well payed
6515,0,11 - 20 years,5-7 years,College degree,Woman,Education,very bad payed 
6516,0,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,well payed
6517,1,21 - 30 years,5-7 years,Some college,Woman,Public & Government,bad payed
6518,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
6519,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
6520,1,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6521,0,5-7 years,5-7 years,PhD,Woman,Industry,well payed
6522,4,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,very well payed
6523,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6524,0,8 - 10 years,5-7 years,Master's degree,Woman,Other,bad payed
6525,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
6526,4,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,very well payed
6527,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
6528,1,8 - 10 years,8 - 10 years,College degree,Woman,Health,bad payed
6529,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,very well payed
6530,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
6532,0,2 - 4 years,2 - 4 years,College degree,Non-binary,Education,well payed
6533,0,5-7 years,5-7 years,Master's degree,Woman,Unidentified,well payed
6536,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,very well payed
6538,1,8 - 10 years,8 - 10 years,College degree,Woman,Other,bad payed
6539,2,5-7 years,2 - 4 years,College degree,Man,Technology & Science,well payed
6540,1,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
6541,4,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
6542,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,very well payed
6544,1,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
6545,2,31 - 40 years,31 - 40 years,Master's degree,Man,Industry,very well payed
6546,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
6547,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed
6548,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6549,4,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,very well payed
6550,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed
6551,3,8 - 10 years,8 - 10 years,College degree,Woman,Health,well payed
6552,4,31 - 40 years,21 - 30 years,Some college,Woman,Technology & Science,very well payed
6553,2,21 - 30 years,11 - 20 years,College degree,Man,Industry,well payed
6554,4,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed
6555,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
6556,4,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6557,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed
6558,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
6559,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
6560,0,8 - 10 years,8 - 10 years,PhD,Woman,Education,well payed
6561,4,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,very well payed
6562,0,11 - 20 years,11 - 20 years,Some college,Woman,Consulting,well payed
6563,0,21 - 30 years,11 - 20 years,Master's degree,Non-binary,Education,well payed
6564,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
6567,0,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,bad payed
6568,1,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
6570,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
6571,4,31 - 40 years,21 - 30 years,Some college,Woman,Banking & Insurance,very well payed
6572,4,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
6573,1,11 - 20 years,2 - 4 years,College degree,Man,Health,bad payed
6574,4,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
6575,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
6577,0,2 - 4 years,2 - 4 years,College degree,Non-binary,Education,very bad payed 
6578,1,2 - 4 years,2 - 4 years,College degree,Woman,Other,bad payed
6579,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
6580,0,2 - 4 years,2 - 4 years,PhD,Prefer not to answer,Education,well payed
6581,4,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,very well payed
6582,1,31 - 40 years,21 - 30 years,College degree,Woman,Banking & Insurance,bad payed
6583,0,8 - 10 years,8 - 10 years,Master's degree,Non-binary,Technology & Science,well payed
6584,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed
6585,0,11 - 20 years,2 - 4 years,PhD,Non-binary,Public & Government,well payed
6586,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,bad payed
6587,0,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
6589,0,5-7 years,5-7 years,Master's degree,Woman,Consulting,very well payed
6590,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Consulting,well payed
6591,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,bad payed
6592,0,8 - 10 years,5-7 years,Master's degree,Man,Non profit Organization,well payed
6593,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
6594,2,5-7 years,5-7 years,College degree,Man,Technology & Science,very well payed
6595,1,21 - 30 years,21 - 30 years,Some college,Man,Banking & Insurance,bad payed
6596,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,very well payed
6597,2,21 - 30 years,21 - 30 years,Master's degree,Man,Industry,very well payed
6598,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Health,bad payed
6599,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
6600,1,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
6601,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
6602,3,31 - 40 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
6603,0,11 - 20 years,5-7 years,PhD,Woman,Education,well payed
6604,1,2 - 4 years,1 year or less,College degree,Woman,Public & Government,bad payed
6605,4,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
6606,1,11 - 20 years,5-7 years,Some college,Woman,Consulting,bad payed
6607,3,8 - 10 years,2 - 4 years,College degree,Woman,Unidentified,well payed
6608,0,8 - 10 years,8 - 10 years,PhD,Woman,Health,well payed
6610,0,11 - 20 years,5-7 years,PhD,Woman,Education,well payed
6611,1,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
6612,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
6613,3,5-7 years,2 - 4 years,College degree,Woman,Unidentified,well payed
6614,0,5-7 years,5-7 years,PhD,Woman,Education,well payed
6616,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed
6617,4,5-7 years,5-7 years,PhD,Woman,Public & Government,very well payed
6618,1,1 year or less,1 year or less,College degree,Woman,Health,bad payed
6619,2,11 - 20 years,11 - 20 years,PhD,Man,Industry,very well payed
6620,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
6621,0,41 years or more,21 - 30 years,Master's degree,Woman,Health,well payed
6622,1,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
6623,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
6624,0,5-7 years,5-7 years,High School,Woman,Banking & Insurance,very bad payed 
6625,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed
6626,1,11 - 20 years,11 - 20 years,College degree,Woman,Law,bad payed
6627,2,11 - 20 years,11 - 20 years,College degree,Man,Other,well payed
6628,1,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
6629,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,very bad payed 
6630,1,5-7 years,2 - 4 years,College degree,Woman,Advertising,bad payed
6631,0,5-7 years,5-7 years,Master's degree,Woman,Health,well payed
6632,0,1 year or less,1 year or less,Some college,Woman,Health,very bad payed 
6633,0,11 - 20 years,5-7 years,Master's degree,Woman,Industry,well payed
6634,3,21 - 30 years,11 - 20 years,College degree,Woman,Health,well payed
6635,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Consulting,well payed
6636,1,11 - 20 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6637,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Culture,well payed
6638,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
6639,0,21 - 30 years,11 - 20 years,PhD,Woman,Education,well payed
6640,0,11 - 20 years,5-7 years,Some college,Woman,Public & Government,well payed
6641,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
6642,1,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
6643,3,21 - 30 years,11 - 20 years,College degree,Woman,Health,well payed
6644,0,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed
6645,0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,bad payed
6646,2,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Technology & Science,very well payed
6647,2,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,Law,very well payed
6648,1,11 - 20 years,8 - 10 years,High School,Woman,Banking & Insurance,bad payed
6649,1,5-7 years,1 year or less,College degree,Woman,Banking & Insurance,bad payed
6650,4,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
6651,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6652,2,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,very well payed
6653,1,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
6654,1,11 - 20 years,11 - 20 years,Some college,Woman,Consulting,bad payed
6656,3,21 - 30 years,21 - 30 years,College degree,Woman,Health,well payed
6657,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6658,0,5-7 years,5-7 years,PhD,Man,Non profit Organization,well payed
6659,4,11 - 20 years,11 - 20 years,College degree,Woman,Industry,very well payed
6660,4,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,very well payed
6661,3,31 - 40 years,2 - 4 years,College degree,Woman,Public & Government,well payed
6662,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
6663,3,2 - 4 years,2 - 4 years,College degree,Woman,Culture,well payed
6664,0,5-7 years,5-7 years,PhD,Woman,Industry,well payed
6665,2,5-7 years,2 - 4 years,College degree,Man,Technology & Science,very well payed
6666,3,11 - 20 years,2 - 4 years,College degree,Non-binary,Other,well payed
6667,4,31 - 40 years,11 - 20 years,College degree,Woman,Public & Government,very well payed
6668,4,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,very well payed
6669,0,5-7 years,5-7 years,Master's degree,Woman,Advertising,bad payed
6670,1,8 - 10 years,5-7 years,Some college,Woman,Culture,bad payed
6671,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed
6672,2,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed
6673,0,8 - 10 years,11 - 20 years,Some college,Woman,Unidentified,well payed
6674,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,bad payed
6675,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed
6676,4,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6677,2,8 - 10 years,8 - 10 years,College degree,Man,Banking & Insurance,well payed
6678,1,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
6680,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
6681,0,31 - 40 years,31 - 40 years,Master's degree,Man,Other,well payed
6682,2,21 - 30 years,11 - 20 years,Master's degree,Man,Other,very well payed
6683,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
6684,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed
6685,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed
6686,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,very well payed
6687,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
6688,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
6689,4,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,very well payed
6690,1,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,bad payed
6691,0,2 - 4 years,2 - 4 years,PhD,Woman,Unidentified,well payed
6692,4,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,very well payed
6693,1,11 - 20 years,5-7 years,College degree,Man,Non profit Organization,bad payed
6694,4,8 - 10 years,2 - 4 years,College degree,Woman,Culture,very well payed
6695,0,21 - 30 years,11 - 20 years,PhD,Woman,Education,very well payed
6696,0,31 - 40 years,21 - 30 years,Master's degree,Woman,Unidentified,well payed
6698,1,11 - 20 years,11 - 20 years,College degree,Woman,Other,very bad payed 
6699,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
6700,1,5-7 years,2 - 4 years,Master's degree,Non-binary,Non profit Organization,bad payed
6701,2,8 - 10 years,8 - 10 years,College degree,Man,Banking & Insurance,very well payed
6702,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
6703,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
6704,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6705,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,well payed
6706,0,5-7 years,2 - 4 years,Master's degree,Woman,Law,well payed
6707,4,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,very well payed
6708,0,11 - 20 years,11 - 20 years,Master's degree,Man,Non profit Organization,well payed
6710,2,5-7 years,5-7 years,PhD,Man,Technology & Science,very well payed
6711,0,11 - 20 years,11 - 20 years,Master's degree,Prefer not to answer,Culture,bad payed
6712,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
6713,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
6714,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,very well payed
6715,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
6716,4,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
6717,0,31 - 40 years,31 - 40 years,Master's degree,Man,Public & Government,well payed
6718,1,8 - 10 years,5-7 years,College degree,Woman,Culture,bad payed
6719,1,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed
6720,1,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,bad payed
6721,0,11 - 20 years,8 - 10 years,Master's degree,Prefer not to answer,Public & Government,well payed
6722,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
6724,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
6725,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
6726,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
6727,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed
6728,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
6729,4,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6732,1,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
6733,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
6734,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,bad payed
6735,1,5-7 years,2 - 4 years,High School,Woman,Other,bad payed
6736,3,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,well payed
6737,3,5-7 years,5-7 years,College degree,Woman,Public & Government,well payed
6738,0,11 - 20 years,5-7 years,Master's degree,Prefer not to answer,Industry,very well payed
6739,3,21 - 30 years,21 - 30 years,College degree,Woman,Unidentified,well payed
6740,4,8 - 10 years,5-7 years,College degree,Woman,Consulting,very well payed
6741,3,11 - 20 years,5-7 years,College degree,Woman,Public & Government,well payed
6742,1,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
6744,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Culture,bad payed
6745,3,8 - 10 years,5-7 years,College degree,Woman,Advertising,well payed
6746,4,11 - 20 years,11 - 20 years,PhD,Woman,Industry,very well payed
6747,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
6748,1,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
6749,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6750,2,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
6751,0,21 - 30 years,21 - 30 years,Some college,Woman,Non profit Organization,well payed
6752,4,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
6753,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6754,2,21 - 30 years,11 - 20 years,Master's degree,Man,Health,very well payed
6755,3,2 - 4 years,2 - 4 years,College degree,Woman,Other,well payed
6756,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
6757,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6758,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6759,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
6760,3,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
6761,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
6762,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
6763,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
6764,4,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,very well payed
6765,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
6766,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Other,well payed
6767,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
6768,1,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,bad payed
6769,4,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
6770,2,5-7 years,2 - 4 years,College degree,Man,Health,very well payed
6771,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Health,well payed
6772,3,8 - 10 years,5-7 years,College degree,Woman,Law,well payed
6773,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed
6775,3,21 - 30 years,8 - 10 years,College degree,Woman,Other,well payed
6776,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,well payed
6777,1,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
6778,3,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,well payed
6779,3,31 - 40 years,8 - 10 years,College degree,Woman,Law,well payed
6781,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6782,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Public & Government,bad payed
6783,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
6784,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
6785,2,8 - 10 years,5-7 years,PhD,Man,Health,very well payed
6786,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
6787,1,1 year or less,1 year or less,College degree,Woman,Advertising,bad payed
6788,3,11 - 20 years,5-7 years,PhD,Woman,Technology & Science,well payed
6789,0,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed
6790,0,11 - 20 years,5-7 years,Master's degree,Woman,Consulting,very well payed
6791,3,21 - 30 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
6793,1,11 - 20 years,5-7 years,College degree,Woman,Advertising,bad payed
6795,1,8 - 10 years,2 - 4 years,College degree,Woman,Education,bad payed
6796,3,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed
6797,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Consulting,well payed
6798,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6799,4,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,very well payed
6800,0,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,well payed
6801,2,11 - 20 years,11 - 20 years,College degree,Man,Culture,well payed
6803,2,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,well payed
6804,0,31 - 40 years,21 - 30 years,Some college,Woman,Consulting,well payed
6806,0,11 - 20 years,5-7 years,Master's degree,Woman,Other,well payed
6807,1,1 year or less,1 year or less,College degree,Woman,Public & Government,bad payed
6808,0,8 - 10 years,8 - 10 years,High School,Man,Education,well payed
6810,1,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
6811,1,31 - 40 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
6812,3,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,well payed
6814,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
6815,1,21 - 30 years,8 - 10 years,College degree,Woman,Culture,bad payed
6816,3,21 - 30 years,21 - 30 years,Some college,Woman,Technology & Science,well payed
6817,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
6818,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
6819,0,8 - 10 years,5-7 years,Master's degree,Man,Public & Government,well payed
6820,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
6821,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed
6823,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed
6825,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
6826,4,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
6827,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,very well payed
6828,1,8 - 10 years,5-7 years,Some college,Woman,Other,bad payed
6831,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,very well payed
6832,0,31 - 40 years,11 - 20 years,PhD,Woman,Education,bad payed
6833,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
6834,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
6835,1,21 - 30 years,2 - 4 years,College degree,Woman,Industry,bad payed
6836,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed
6837,4,11 - 20 years,11 - 20 years,College degree,Woman,Health,very well payed
6838,2,11 - 20 years,1 year or less,PhD,Man,Education,very well payed
6839,1,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed
6840,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
6841,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
6842,4,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed
6843,1,5-7 years,2 - 4 years,College degree,Woman,Law,bad payed
6844,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
6845,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
6846,3,21 - 30 years,21 - 30 years,College degree,Woman,Public & Government,well payed
6848,1,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
6849,1,11 - 20 years,2 - 4 years,College degree,Woman,Other,bad payed
6850,3,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,well payed
6851,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,well payed
