,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
3718,4,8 - 10 years,2 - 4 years,College degree,Public & Government,bad payed
3719,2,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
3720,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
3721,1,21 - 30 years,21 - 30 years,College degree,Consulting,very well payed
3722,1,21 - 30 years,11 - 20 years,Some college,Banking & Insurance,well payed
3723,0,5-7 years,5-7 years,College degree,Public & Government,well payed
3724,2,11 - 20 years,5-7 years,Some college,Retail,bad payed
3725,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
3726,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,well payed
3727,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
3728,0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Health,well payed
3729,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
3730,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
3731,4,2 - 4 years,1 year or less,College degree,Education,bad payed
3732,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Education,well payed
3733,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
3734,4,5-7 years,2 - 4 years,College degree,Industry,bad payed
3735,0,5-7 years,5-7 years,College degree,Banking & Insurance,well payed
3736,4,2 - 4 years,2 - 4 years,Master's degree,Industry,bad payed
3737,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
3738,4,8 - 10 years,2 - 4 years,College degree,Advertising,bad payed
3739,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
3740,1,2 - 4 years,2 - 4 years,PhD,Technology & Science,well payed
3741,1,21 - 30 years,11 - 20 years,Some college,Other,bad payed
3742,0,21 - 30 years,21 - 30 years,Master's degree,Non profit Organization,very well payed
3743,1,21 - 30 years,21 - 30 years,College degree,Other,well payed
3744,2,21 - 30 years,21 - 30 years,Master's degree,Industry,very well payed
3745,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
3746,0,5-7 years,2 - 4 years,Master's degree,Industry,well payed
3747,1,11 - 20 years,8 - 10 years,College degree,Other,bad payed
3748,0,8 - 10 years,5-7 years,College degree,Law,well payed
3749,1,11 - 20 years,2 - 4 years,College degree,Education,well payed
3750,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
3751,4,8 - 10 years,8 - 10 years,College degree,Education,bad payed
3752,0,5-7 years,2 - 4 years,Master's degree,Education,well payed
3753,3,8 - 10 years,8 - 10 years,PhD,Technology & Science,well payed
3754,2,21 - 30 years,21 - 30 years,PhD,Banking & Insurance,very well payed
3755,1,11 - 20 years,11 - 20 years,Some college,Health,well payed
3756,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
3757,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
3758,1,11 - 20 years,8 - 10 years,College degree,Human Ressources,very well payed
3759,1,21 - 30 years,8 - 10 years,College degree,Technology & Science,well payed
3760,1,11 - 20 years,2 - 4 years,College degree,Advertising,well payed
3761,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
3762,4,8 - 10 years,2 - 4 years,College degree,Other,bad payed
3763,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
3764,1,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,well payed
3765,4,2 - 4 years,2 - 4 years,College degree,Education,very bad payed 
3766,2,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,very well payed
3767,1,11 - 20 years,11 - 20 years,Master's degree,Health,well payed
3768,0,8 - 10 years,5-7 years,Master's degree,Technology & Science,well payed
3769,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
3770,1,11 - 20 years,5-7 years,College degree,Other,well payed
3771,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,bad payed
3772,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
3773,0,5-7 years,5-7 years,College degree,Human Ressources,bad payed
3774,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,very well payed
3775,3,8 - 10 years,8 - 10 years,Master's degree,Industry,well payed
3776,4,2 - 4 years,2 - 4 years,College degree,Culture,bad payed
3777,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Technology & Science,very well payed
3778,4,2 - 4 years,1 year or less,College degree,Education,very bad payed 
3779,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
3780,2,21 - 30 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
3781,4,8 - 10 years,2 - 4 years,PhD,Non profit Organization,bad payed
3782,2,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,very well payed
3783,0,8 - 10 years,5-7 years,Master's degree,Non profit Organization,bad payed
3784,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Construction,well payed
3785,0,21 - 30 years,21 - 30 years,Master's degree,Culture,bad payed
3786,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
3787,0,2 - 4 years,1 year or less,Master's degree,Technology & Science,well payed
3788,1,21 - 30 years,21 - 30 years,College degree,Health,well payed
3789,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,bad payed
3790,4,5-7 years,2 - 4 years,Master's degree,Education,bad payed
3791,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
3792,4,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Education,well payed
3793,1,31 - 40 years,21 - 30 years,College degree,Technology & Science,very well payed
3794,2,11 - 20 years,1 year or less,Unknown,Technology & Science,very well payed
3795,1,11 - 20 years,5-7 years,College degree,Retail,bad payed
3796,4,5-7 years,5-7 years,College degree,Education,bad payed
3797,4,11 - 20 years,2 - 4 years,Some college,Construction,bad payed
3798,0,5-7 years,5-7 years,Master's degree,Social,well payed
3799,3,8 - 10 years,8 - 10 years,College degree,Culture,bad payed
3800,0,21 - 30 years,11 - 20 years,Master's degree,Law,well payed
3801,1,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Education,very well payed
3802,0,5-7 years,2 - 4 years,College degree,Other,well payed
3803,4,8 - 10 years,5-7 years,College degree,Public & Government,bad payed
3804,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,bad payed
3805,1,11 - 20 years,8 - 10 years,College degree,Industry,well payed
3806,4,8 - 10 years,1 year or less,College degree,Law,bad payed
3807,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
3808,4,2 - 4 years,2 - 4 years,PhD,Education,well payed
3809,3,8 - 10 years,2 - 4 years,Master's degree,Agriculture & Food,bad payed
3810,1,11 - 20 years,2 - 4 years,Master's degree,Technology & Science,well payed
3811,3,8 - 10 years,8 - 10 years,PhD,Public & Government,very well payed
3812,0,5-7 years,2 - 4 years,Master's degree,Health,well payed
3813,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
3814,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,very well payed
3815,3,8 - 10 years,8 - 10 years,Master's degree,Banking & Insurance,very well payed
3816,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
3817,4,5-7 years,2 - 4 years,College degree,Other,bad payed
3818,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
3819,3,21 - 30 years,2 - 4 years,Master's degree,Banking & Insurance,well payed
3820,1,21 - 30 years,11 - 20 years,College degree,Non profit Organization,well payed
3821,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
3822,0,5-7 years,5-7 years,Some college,Other,bad payed
3823,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
3824,1,11 - 20 years,11 - 20 years,College degree,Culture,well payed
3825,1,21 - 30 years,11 - 20 years,Some college,Technology & Science,well payed
3826,2,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Non profit Organization,very well payed
3827,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
3828,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
3829,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,bad payed
3830,4,2 - 4 years,1 year or less,PhD,Education,bad payed
3831,4,5-7 years,5-7 years,College degree,Education,bad payed
3832,0,5-7 years,2 - 4 years,Master's degree,Public & Government,well payed
3833,4,8 - 10 years,2 - 4 years,High School,Public & Government,bad payed
3834,1,31 - 40 years,31 - 40 years,College degree,Health,well payed
3835,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
3836,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
3837,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
3838,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,bad payed
3839,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
3840,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
3841,1,11 - 20 years,11 - 20 years,PhD,Education,very well payed
3842,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
3843,4,5-7 years,2 - 4 years,College degree,Culture,bad payed
3844,0,5-7 years,5-7 years,College degree,Human Ressources,well payed
3845,4,2 - 4 years,2 - 4 years,Master's degree,Education,very bad payed 
3846,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,well payed
3847,1,11 - 20 years,11 - 20 years,College degree,Construction,bad payed
3848,4,8 - 10 years,2 - 4 years,High School,Technology & Science,bad payed
3849,1,11 - 20 years,8 - 10 years,College degree,Industry,well payed
3850,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
3851,0,5-7 years,5-7 years,High School,Banking & Insurance,bad payed
3852,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,bad payed
3853,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
3854,3,8 - 10 years,2 - 4 years,Master's degree,Education,well payed
3855,0,5-7 years,5-7 years,PhD,Other,very well payed
3856,1,11 - 20 years,11 - 20 years,College degree,Unidentified,very well payed
3857,0,5-7 years,5-7 years,Master's degree,Culture,bad payed
3858,2,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
3859,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
3860,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
3861,0,8 - 10 years,5-7 years,College degree,Unidentified,well payed
3862,4,31 - 40 years,31 - 40 years,High School,Education,bad payed
3863,1,11 - 20 years,11 - 20 years,College degree,Law,well payed
3864,0,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,well payed
3865,4,5-7 years,2 - 4 years,College degree,Education,well payed
3866,0,1 year or less,1 year or less,Master's degree,Non profit Organization,bad payed
3867,0,5-7 years,5-7 years,College degree,Banking & Insurance,well payed
3868,4,11 - 20 years,2 - 4 years,College degree,Industry,bad payed
3869,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
3870,0,5-7 years,2 - 4 years,High School,Technology & Science,well payed
3871,2,11 - 20 years,5-7 years,Master's degree,Public & Government,bad payed
3872,3,11 - 20 years,8 - 10 years,Master's degree,Education,well payed
3873,1,11 - 20 years,11 - 20 years,High School,Banking & Insurance,bad payed
3874,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
3875,0,5-7 years,2 - 4 years,College degree,Non profit Organization,well payed
3876,3,11 - 20 years,8 - 10 years,Master's degree,Agriculture & Food,well payed
3877,1,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Education,well payed
3878,1,21 - 30 years,11 - 20 years,PhD,Education,well payed
3879,0,1 year or less,1 year or less,PhD,Education,well payed
3880,0,5-7 years,5-7 years,College degree,Advertising,bad payed
3881,4,5-7 years,2 - 4 years,College degree,Retail,bad payed
3882,0,11 - 20 years,5-7 years,Master's degree,Banking & Insurance,well payed
3883,0,11 - 20 years,5-7 years,Master's degree,Banking & Insurance,well payed
3884,1,21 - 30 years,11 - 20 years,Some college,Industry,well payed
3885,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
3886,4,2 - 4 years,2 - 4 years,Master's degree,Culture,bad payed
3887,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
3888,4,11 - 20 years,2 - 4 years,College degree,Consulting,bad payed
3889,3,41 years or more,41 years or more,High School,Banking & Insurance,well payed
3890,2,11 - 20 years,8 - 10 years,Master's degree,Energy,bad payed
3891,1,11 - 20 years,2 - 4 years,Master's degree,Technology & Science,well payed
3892,0,21 - 30 years,5-7 years,Some college,Health,bad payed
3893,0,5-7 years,5-7 years,College degree,Advertising,well payed
3894,0,8 - 10 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
3895,4,8 - 10 years,5-7 years,College degree,Industry,bad payed
3896,1,11 - 20 years,11 - 20 years,College degree,Health,well payed
3897,1,5-7 years,2 - 4 years,College degree,Technology & Science,well payed
3898,4,2 - 4 years,2 - 4 years,College degree,Human Ressources,well payed
3899,4,2 - 4 years,2 - 4 years,College degree,Other,bad payed
3900,2,11 - 20 years,11 - 20 years,Master's degree,Health,very well payed
3901,2,11 - 20 years,11 - 20 years,Master's degree,Other,very well payed
3902,0,31 - 40 years,31 - 40 years,Some college,Other,well payed
3903,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
3904,0,5-7 years,2 - 4 years,Some college,Non profit Organization,bad payed
3905,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
3906,2,1 year or less,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,very well payed
3907,0,21 - 30 years,21 - 30 years,PhD,Public & Government,well payed
3908,3,8 - 10 years,2 - 4 years,Master's degree,Other,bad payed
3909,4,1 year or less,1 year or less,College degree,Other,bad payed
3910,0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Non profit Organization,very well payed
3911,0,5-7 years,5-7 years,College degree,Culture,well payed
3912,1,11 - 20 years,11 - 20 years,Master's degree,Energy,well payed
3913,0,5-7 years,2 - 4 years,Master's degree,Culture,bad payed
3914,0,5-7 years,5-7 years,College degree,Other,very well payed
3915,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Technology & Science,very well payed
3916,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,very well payed
3917,4,21 - 30 years,21 - 30 years,College degree,Non profit Organization,bad payed
3918,0,8 - 10 years,5-7 years,PhD,Education,well payed
3919,1,11 - 20 years,11 - 20 years,Master's degree,Retail,well payed
3920,3,8 - 10 years,8 - 10 years,Master's degree,Health,very well payed
3921,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
3922,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
3923,1,21 - 30 years,21 - 30 years,College degree,Unidentified,well payed
3924,0,21 - 30 years,2 - 4 years,College degree,Non profit Organization,well payed
3925,1,11 - 20 years,11 - 20 years,College degree,Other,bad payed
3926,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
3927,4,21 - 30 years,2 - 4 years,College degree,Technology & Science,bad payed
3928,4,2 - 4 years,2 - 4 years,Unknown,Other,very well payed
3929,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
3930,1,11 - 20 years,11 - 20 years,College degree,Public & Government,well payed
3931,4,21 - 30 years,2 - 4 years,College degree,Banking & Insurance,bad payed
3932,1,11 - 20 years,8 - 10 years,College degree,Education,well payed
3933,4,5-7 years,2 - 4 years,PhD,Education,bad payed
3934,2,8 - 10 years,5-7 years,PhD,Retail,very well payed
3935,4,2 - 4 years,2 - 4 years,Master's degree,Public & Government,bad payed
3936,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,well payed
3937,1,11 - 20 years,8 - 10 years,College degree,Education,well payed
3938,1,11 - 20 years,1 year or less,College degree,Banking & Insurance,bad payed
3939,2,5-7 years,2 - 4 years,Master's degree,Technology & Science,very well payed
3940,4,5-7 years,2 - 4 years,College degree,Non profit Organization,bad payed
3941,1,21 - 30 years,21 - 30 years,College degree,Public & Government,very well payed
3942,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
3943,1,11 - 20 years,11 - 20 years,College degree,Industry,very well payed
3944,0,5-7 years,1 year or less,Master's degree,Industry,well payed
3945,2,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,very well payed
3946,0,21 - 30 years,11 - 20 years,Master's degree,Public & Government,bad payed
3947,0,21 - 30 years,5-7 years,College degree,Education,well payed
3948,1,11 - 20 years,8 - 10 years,High School,Construction,bad payed
3949,0,5-7 years,5-7 years,College degree,Law,bad payed
3950,0,11 - 20 years,5-7 years,Master's degree,Non profit Organization,bad payed
3951,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,very well payed
3952,1,11 - 20 years,11 - 20 years,Master's degree,Other,bad payed
3953,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
3954,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
3955,0,21 - 30 years,31 - 40 years,Master's degree,Other,well payed
3956,0,5-7 years,5-7 years,Master's degree,Unidentified,well payed
3957,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,well payed
3958,4,8 - 10 years,5-7 years,College degree,Construction,bad payed
3959,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
3960,4,5-7 years,5-7 years,College degree,Education,bad payed
3961,0,5-7 years,5-7 years,College degree,Consulting,bad payed
3962,3,11 - 20 years,8 - 10 years,Master's degree,Public & Government,well payed
3963,3,8 - 10 years,8 - 10 years,College degree,Advertising,well payed
3964,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
3965,1,11 - 20 years,11 - 20 years,College degree,Unidentified,bad payed
3966,1,21 - 30 years,21 - 30 years,College degree,Culture,well payed
3967,1,11 - 20 years,8 - 10 years,High School,Public & Government,well payed
3968,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
3969,4,31 - 40 years,21 - 30 years,College degree,Education,very well payed
3970,2,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Law,very well payed
3971,3,8 - 10 years,8 - 10 years,College degree,Advertising,well payed
3972,0,41 years or more,31 - 40 years,Master's degree,Culture,bad payed
3973,0,5-7 years,5-7 years,College degree,Retail,well payed
3974,1,11 - 20 years,11 - 20 years,Some college,Non profit Organization,bad payed
3975,1,11 - 20 years,2 - 4 years,College degree,Health,well payed
3976,0,8 - 10 years,5-7 years,Master's degree,Advertising,well payed
3977,3,8 - 10 years,8 - 10 years,College degree,Culture,well payed
3978,3,8 - 10 years,2 - 4 years,Master's degree,Public & Government,well payed
3979,4,5-7 years,2 - 4 years,College degree,Other,bad payed
3980,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
3981,2,11 - 20 years,8 - 10 years,Master's degree,Public & Government,bad payed
3982,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
3983,1,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Education,very well payed
3984,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
3985,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
3986,4,8 - 10 years,5-7 years,College degree,Health,bad payed
3987,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
3988,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
3989,2,11 - 20 years,11 - 20 years,Master's degree,Agriculture & Food,very well payed
3990,1,11 - 20 years,11 - 20 years,College degree,Health,bad payed
3991,0,2 - 4 years,2 - 4 years,Master's degree,Unidentified,well payed
3992,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
3993,1,11 - 20 years,2 - 4 years,College degree,Non profit Organization,well payed
3994,1,11 - 20 years,11 - 20 years,College degree,Advertising,well payed
3995,4,2 - 4 years,2 - 4 years,Master's degree,Education,bad payed
3996,0,5-7 years,5-7 years,Master's degree,Education,well payed
3997,0,5-7 years,2 - 4 years,Some college,Public & Government,well payed
3998,4,8 - 10 years,2 - 4 years,College degree,Non profit Organization,bad payed
3999,0,8 - 10 years,5-7 years,PhD,Education,well payed
4000,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
4001,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
4002,3,8 - 10 years,2 - 4 years,Some college,Other,well payed
4003,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
4004,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,bad payed
4005,0,8 - 10 years,5-7 years,Some college,Construction,bad payed
4006,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
4007,3,8 - 10 years,2 - 4 years,PhD,Health,well payed
4008,1,11 - 20 years,5-7 years,College degree,Technology & Science,well payed
4009,3,8 - 10 years,8 - 10 years,PhD,Education,bad payed
4010,3,8 - 10 years,1 year or less,Master's degree,Public & Government,bad payed
4011,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
4012,1,11 - 20 years,8 - 10 years,College degree,Social,bad payed
4013,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
4014,0,5-7 years,5-7 years,College degree,Human Ressources,bad payed
4015,1,11 - 20 years,8 - 10 years,Some college,Health,well payed
4016,1,21 - 30 years,11 - 20 years,Some college,Technology & Science,well payed
4017,4,21 - 30 years,2 - 4 years,College degree,Banking & Insurance,bad payed
4018,0,5-7 years,1 year or less,Master's degree,Technology & Science,bad payed
4019,4,2 - 4 years,2 - 4 years,Master's degree,Education,bad payed
4020,1,11 - 20 years,11 - 20 years,PhD,Education,bad payed
4021,2,11 - 20 years,1 year or less,Master's degree,Education,very bad payed 
4022,1,2 - 4 years,8 - 10 years,College degree,Unidentified,well payed
4023,3,8 - 10 years,8 - 10 years,College degree,Unidentified,very well payed
4024,0,8 - 10 years,5-7 years,College degree,Non profit Organization,bad payed
4025,1,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,bad payed
4026,3,21 - 30 years,21 - 30 years,Some college,Banking & Insurance,well payed
4027,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
4028,2,11 - 20 years,11 - 20 years,Master's degree,Public & Government,very well payed
4029,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
4030,1,21 - 30 years,11 - 20 years,College degree,Unidentified,bad payed
4031,0,5-7 years,2 - 4 years,PhD,Advertising,well payed
4032,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
4033,2,11 - 20 years,8 - 10 years,Master's degree,Agriculture & Food,bad payed
4034,2,8 - 10 years,2 - 4 years,PhD,Health,very well payed
4035,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
4036,1,8 - 10 years,5-7 years,College degree,Technology & Science,bad payed
4037,0,5-7 years,5-7 years,Master's degree,Other,well payed
4038,0,5-7 years,5-7 years,College degree,Banking & Insurance,bad payed
4039,3,2 - 4 years,8 - 10 years,Master's degree,Culture,bad payed
4040,1,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Health,well payed
4041,0,21 - 30 years,21 - 30 years,PhD,Other,well payed
4042,4,2 - 4 years,1 year or less,College degree,Advertising,bad payed
4043,4,41 years or more,11 - 20 years,College degree,Education,bad payed
4044,2,11 - 20 years,5-7 years,Some college,Technology & Science,very well payed
4045,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
4046,4,1 year or less,1 year or less,College degree,Other,bad payed
4047,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,bad payed
4048,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
4049,4,8 - 10 years,5-7 years,College degree,Education,bad payed
4050,1,11 - 20 years,11 - 20 years,College degree,Industry,very well payed
4051,0,5-7 years,5-7 years,Master's degree,Education,bad payed
4052,1,11 - 20 years,8 - 10 years,College degree,Health,well payed
4053,2,11 - 20 years,5-7 years,Master's degree,Education,bad payed
4054,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
4055,4,5-7 years,2 - 4 years,College degree,Other,bad payed
4056,4,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,bad payed
4057,2,11 - 20 years,5-7 years,College degree,Banking & Insurance,very well payed
4058,1,11 - 20 years,11 - 20 years,College degree,Health,bad payed
4059,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
4060,3,8 - 10 years,8 - 10 years,Master's degree,Ecology & Environment,well payed
4061,4,8 - 10 years,2 - 4 years,College degree,Education,bad payed
4062,3,8 - 10 years,2 - 4 years,College degree,Banking & Insurance,well payed
4063,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
4064,2,11 - 20 years,5-7 years,Master's degree,Public & Government,bad payed
4065,1,21 - 30 years,11 - 20 years,College degree,Other,well payed
4066,0,5-7 years,5-7 years,Master's degree,Education,bad payed
4067,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
4068,2,11 - 20 years,8 - 10 years,Master's degree,Health,bad payed
4069,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Non profit Organization,very well payed
4070,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
4071,0,11 - 20 years,5-7 years,Master's degree,Other,well payed
4072,4,21 - 30 years,8 - 10 years,College degree,Industry,bad payed
4073,4,8 - 10 years,1 year or less,College degree,Public & Government,bad payed
4074,0,5-7 years,5-7 years,PhD,Education,well payed
4075,1,31 - 40 years,11 - 20 years,Some college,Technology & Science,bad payed
4076,3,8 - 10 years,8 - 10 years,Master's degree,Consulting,very well payed
4077,3,8 - 10 years,8 - 10 years,College degree,Health,bad payed
4078,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
4079,3,8 - 10 years,8 - 10 years,Master's degree,Industry,very well payed
4080,1,21 - 30 years,21 - 30 years,College degree,Unidentified,very well payed
4081,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
4082,0,8 - 10 years,5-7 years,College degree,Health,very bad payed 
4083,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
4084,1,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,well payed
4085,1,11 - 20 years,11 - 20 years,PhD,Security & Defense,well payed
4086,2,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
4087,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
4088,1,21 - 30 years,8 - 10 years,College degree,Education,well payed
4089,4,5-7 years,5-7 years,College degree,Education,bad payed
4090,0,8 - 10 years,5-7 years,College degree,Education,well payed
4091,4,11 - 20 years,2 - 4 years,Unknown,Education,bad payed
4092,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
4093,0,5-7 years,5-7 years,Master's degree,Non profit Organization,well payed
4094,3,8 - 10 years,8 - 10 years,Master's degree,Consulting,very well payed
4095,1,21 - 30 years,11 - 20 years,College degree,Non profit Organization,well payed
4096,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
4097,0,21 - 30 years,11 - 20 years,Master's degree,Education,well payed
4098,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
4099,0,21 - 30 years,21 - 30 years,College degree,Non profit Organization,well payed
4100,0,5-7 years,2 - 4 years,Master's degree,Health,very well payed
4101,1,11 - 20 years,11 - 20 years,College degree,Law,well payed
4102,4,5-7 years,2 - 4 years,College degree,Education,bad payed
4103,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
4104,1,11 - 20 years,11 - 20 years,PhD,Technology & Science,very well payed
4105,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
4106,0,5-7 years,2 - 4 years,Master's degree,Banking & Insurance,very well payed
4107,1,11 - 20 years,8 - 10 years,College degree,Consulting,well payed
4108,1,31 - 40 years,21 - 30 years,College degree,Other,very well payed
4109,1,21 - 30 years,21 - 30 years,College degree,Construction,well payed
