,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,adjusted_annual_salary,harmonized_salary
3914,0,5-7 years,5-7 years,College degree,Woman,Other,very well payed,3.459617414587678,125000.0
3915,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,very well payed,2.880332638191602,149000.0
3916,0,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed,2.719420200303803,130000.0
3917,0,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,bad payed,0.8282967740274453,51475.0
3918,4,8 - 10 years,5-7 years,PhD,Woman,Education,well payed,1.440166319095801,89500.0
3920,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,very well payed,2.059679204963827,115000.0
3921,3,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed,4.569913236013491,84000.0
3922,2,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,1.2390257717360522,72000.0
3923,0,21 - 30 years,21 - 30 years,College degree,Woman,Unidentified,well payed,1.094204577637033,68000.0
3924,0,21 - 30 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,1.0781133338482531,67000.0
3925,0,11 - 20 years,11 - 20 years,College degree,Woman,Other,bad payed,0.7080147267063155,44000.0
3926,0,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,1.7700368167657887,110000.0
3927,0,21 - 30 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,0.8930640302772843,54000.0
3929,0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,1.729808707293839,102500.0
3930,0,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,well payed,1.0666080945392755,66285.0
3931,2,21 - 30 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,0.8689271645941145,54000.0
3932,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,well payed,1.5125769161453104,94000.0
3933,4,5-7 years,2 - 4 years,PhD,Non-binary,Education,bad payed,0.933292139749234,58000.0
3935,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed,0.7723797018614351,45000.0
3936,3,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Law,well payed,1.930949254653588,115000.0
3937,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,well payed,1.0861589557426432,67500.0
3938,2,11 - 20 years,1 year or less,College degree,Woman,Banking & Insurance,bad payed,0.6951417316752916,41600.0
3939,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,very well payed,2.4619602996833243,153000.0
3940,0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.7241059704950954,45000.0
3941,0,21 - 30 years,21 - 30 years,College degree,Woman,Public & Government,very well payed,2.256833666857252,94732.85
3942,0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.8689271645941145,52000.0
3943,3,11 - 20 years,11 - 20 years,College degree,Man,Industry,very well payed,2.8159676630364823,175000.0
3944,1,5-7 years,1 year or less,Master's degree,Woman,Industry,well payed,1.1907520403697125,65000.0
3945,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,very well payed,2.301047861795525,103000.0
3946,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,bad payed,0.6550584433974409,40709.0
3947,0,21 - 30 years,5-7 years,College degree,Woman,Education,well payed,1.104502973661852,68640.0
3949,3,5-7 years,5-7 years,College degree,Man,Law,bad payed,0.6114672639736362,37500.0
3950,1,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,0.8383538013954327,52100.0
3951,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed,4.73082567390129,235000.0
3952,1,11 - 20 years,11 - 20 years,Master's degree,Man,Other,bad payed,0.965474627326794,60000.0
3953,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,bad payed,0.9976571149043536,62000.0
3954,0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.8045621894389949,50000.0
3955,1,21 - 30 years,31 - 40 years,Master's degree,Woman,Other,well payed,1.3033907468911716,81000.0
3956,1,5-7 years,5-7 years,Master's degree,Woman,Unidentified,well payed,1.0871721936344578,45635.14
3957,0,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,1.271208259313612,69000.0
3959,0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,1.963131742231148,112000.0
3960,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed,0.6128028372081048,38083.0
3961,0,5-7 years,5-7 years,College degree,Woman,Consulting,bad payed,0.9786544692205068,41080.0
3962,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,1.2068432841584924,75000.0
3963,0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,1.1773963080250252,73170.0
3964,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed,2.333230349373085,100000.0
3965,0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,0.6758322391287557,36000.0
3966,0,21 - 30 years,21 - 30 years,College degree,Woman,Culture,well payed,1.2068432841584924,75000.0
3967,0,11 - 20 years,8 - 10 years,High School,Woman,Public & Government,well payed,1.0848206342206852,56090.0
3968,0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,0.7723797018614351,48000.0
3969,0,31 - 40 years,21 - 30 years,College degree,Woman,Education,very well payed,2.0918616925413867,65000.0
3970,0,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed,4.264179604026673,250000.0
3971,0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,1.930949254653588,120000.0
3972,1,41 years or more,31 - 40 years,Master's degree,Woman,Culture,bad payed,0.8850184083828944,55000.0
3974,0,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,bad payed,0.8367446770165546,52000.0
3975,0,11 - 20 years,2 - 4 years,College degree,Woman,Health,well payed,1.2671854483664169,75000.0
3976,1,8 - 10 years,5-7 years,Master's degree,Woman,Advertising,well payed,1.2390257717360522,77000.0
3977,0,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed,1.7700368167657887,110000.0
3978,1,8 - 10 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed,1.0057027367987437,62500.0
3979,0,5-7 years,2 - 4 years,College degree,Woman,Other,bad payed,0.933292139749234,58000.0
3980,0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,1.158569552792153,72000.0
3981,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,bad payed,0.9149481218300248,56860.0
3982,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,1.3355732344687314,83000.0
3983,1,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,very well payed,2.2527741304291857,140000.0
3984,1,11 - 20 years,11 - 20 years,Master's degree,Man,Education,bad payed,0.8480085476687006,52000.0
3985,2,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,1.416029453412631,88000.0
3986,0,8 - 10 years,5-7 years,College degree,Woman,Health,bad payed,0.9815658711155738,59000.0
3987,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.287299503102392,80000.0
3988,4,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,1.245462269251564,77400.0
3990,0,11 - 20 years,11 - 20 years,College degree,Woman,Health,bad payed,0.933292139749234,58000.0
3991,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Unidentified,well payed,1.110295821425813,65000.0
3992,0,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Technology & Science,very well payed,5.0204680620993285,312000.0
3993,0,11 - 20 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,1.045930846270693,65000.0
3994,0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed,1.1907520403697125,74000.0
3995,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed,0.8126078113333849,50500.0
3996,1,5-7 years,5-7 years,Master's degree,Woman,Education,well payed,1.1960286830569848,50204.5
3997,0,5-7 years,2 - 4 years,Some college,Woman,Public & Government,well payed,1.0328192300362111,43353.62
3998,0,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.5020468062099328,31200.0
3999,4,8 - 10 years,5-7 years,PhD,Woman,Education,well payed,1.1907520403697125,74000.0
4000,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.045930846270693,65000.0
4001,0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,1.019782575113926,63375.0
4002,0,8 - 10 years,2 - 4 years,Some college,Woman,Other,well payed,1.0038200612754564,57383.0
4003,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed,2.8039832285115303,102700.0
4004,2,5-7 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,bad payed,0.6082490152158802,33000.0
4006,0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed,2.2527741304291857,120000.0
4007,4,8 - 10 years,2 - 4 years,PhD,Woman,Health,well payed,1.721763085399449,107000.0
4008,0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,1.271208259313612,75000.0
4009,4,8 - 10 years,8 - 10 years,PhD,Woman,Education,bad payed,0.9172008959604542,57000.0
4010,1,8 - 10 years,1 year or less,Master's degree,Woman,Public & Government,bad payed,0.965474627326794,60000.0
4011,3,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed,1.255117015524832,73000.0
4013,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,1.279253881208002,79500.0
4015,0,11 - 20 years,8 - 10 years,Some college,Woman,Health,well payed,1.255117015524832,78000.0
4016,3,21 - 30 years,11 - 20 years,Some college,Man,Technology & Science,well payed,1.8159919914909592,68040.0
4017,2,21 - 30 years,2 - 4 years,College degree,Man,Banking & Insurance,bad payed,0.8528359208053345,52500.0
4018,0,5-7 years,1 year or less,Master's degree,Woman,Technology & Science,bad payed,0.5199235462393357,32860.0
4019,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed,0.6152808887515769,38237.0
4020,4,11 - 20 years,11 - 20 years,PhD,Woman,Education,bad payed,0.965474627326794,60000.0
4021,1,11 - 20 years,1 year or less,Master's degree,Woman,Education,very bad payed ,0.4270162047175124,16380.0
4022,0,2 - 4 years,8 - 10 years,College degree,Woman,Unidentified,well payed,1.045930846270693,62000.0
4023,0,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,very well payed,2.494142787260884,155000.0
4024,0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,0.9706238253392034,60320.0
4025,2,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed,0.9172008959604542,57000.0
4026,2,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,well payed,1.1344326871089827,68000.0
4027,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed,2.051633583069437,120000.0
4028,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed,2.057828711928117,127885.0
4029,1,11 - 20 years,11 - 20 years,Master's degree,Prefer not to answer,Public & Government,well payed,1.721763085399449,107000.0
4030,0,21 - 30 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,0.6114672639736362,38000.0
4031,4,5-7 years,2 - 4 years,PhD,Woman,Advertising,well payed,1.8504930357096885,105000.0
4032,3,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed,2.671146468937463,156000.0
4034,4,8 - 10 years,2 - 4 years,PhD,Woman,Health,very well payed,4.74691691769007,230000.0
4035,0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,1.778516295025729,74655.0
4036,0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,bad payed,0.9313290080070028,57678.0
4037,1,5-7 years,5-7 years,Master's degree,Woman,Other,well payed,1.0781133338482531,67000.0
4038,2,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed,0.8850184083828944,55000.0
4039,1,2 - 4 years,8 - 10 years,Master's degree,Woman,Culture,bad payed,0.9172008959604542,57000.0
4040,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed,1.7700368167657887,110000.0
4041,4,21 - 30 years,21 - 30 years,PhD,Woman,Other,well payed,1.2068432841584924,75000.0
4042,0,2 - 4 years,1 year or less,College degree,Woman,Advertising,bad payed,0.755490208346368,28980.0
4043,0,41 years or more,11 - 20 years,College degree,Woman,Education,bad payed,0.8528359208053345,53000.0
4044,0,11 - 20 years,5-7 years,Some college,Woman,Technology & Science,very well payed,2.0918616925413867,130000.0
4045,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,1.3355732344687314,83000.0
4046,0,1 year or less,1 year or less,College degree,Non-binary,Other,bad payed,0.7562884580726552,47000.0
4047,0,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,bad payed,0.96064725419016,57200.0
4048,2,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,1.1199505676990809,67600.0
4049,0,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed,0.8850184083828944,55000.0
4050,3,11 - 20 years,11 - 20 years,College degree,Man,Industry,very well payed,2.6228727375711234,148000.0
4051,1,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,0.8045621894389949,50000.0
4052,0,11 - 20 years,8 - 10 years,College degree,Woman,Health,well payed,1.4321206972014109,89000.0
4053,1,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed,0.5310110450297366,33000.0
4054,0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,1.7700368167657887,105000.0
4055,0,5-7 years,2 - 4 years,College degree,Woman,Other,bad payed,0.8206695244715636,51001.0
4056,2,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,0.5310110450297366,31000.0
4057,2,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,very well payed,2.0918616925413867,85000.0
4058,0,11 - 20 years,11 - 20 years,College degree,Woman,Health,bad payed,0.9389240750753072,58000.0
4059,1,11 - 20 years,8 - 10 years,Master's degree,Non-binary,Education,bad payed,0.7675523287248012,47700.0
4061,0,8 - 10 years,2 - 4 years,College degree,Woman,Education,bad payed,0.6597409953399758,41000.0
4062,2,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,1.0057027367987437,60000.0
4063,0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,1.4482119409901908,80000.0
4064,1,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,bad payed,0.965474627326794,60000.0
4065,0,21 - 30 years,11 - 20 years,College degree,Woman,Other,well payed,1.6895805978218892,104000.0
4066,1,5-7 years,5-7 years,Master's degree,Man,Education,bad payed,0.7241059704950954,45000.0
4067,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,1.9008481036782925,79790.0
4068,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,bad payed,0.949383383538014,58000.0
4069,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,very well payed,2.8642413944028218,178000.0
4070,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,very well payed,2.8159676630364823,155000.0
4071,1,11 - 20 years,5-7 years,Master's degree,Non-binary,Other,well payed,1.3284567371831524,55513.3
4072,0,21 - 30 years,8 - 10 years,College degree,Woman,Industry,bad payed,0.8367446770165546,52000.0
4073,0,8 - 10 years,1 year or less,College degree,Woman,Public & Government,bad payed,0.9054385910029408,34731.9
4074,4,5-7 years,5-7 years,PhD,Woman,Education,well payed,1.094204577637033,68000.0
4075,0,31 - 40 years,11 - 20 years,Some college,Woman,Technology & Science,bad payed,0.8447902989109446,52000.0
4076,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Consulting,very well payed,2.550462140521614,141500.0
4077,0,8 - 10 years,8 - 10 years,College degree,Woman,Health,bad payed,0.8657089158363586,46800.0
4078,0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.8045621894389949,50000.0
4079,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,very well payed,2.4056409464225945,130000.0
4080,0,21 - 30 years,21 - 30 years,College degree,Woman,Unidentified,very well payed,2.3171391055843054,144000.0
4081,0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,1.8504930357096885,115000.0
4082,0,8 - 10 years,5-7 years,College degree,Woman,Health,very bad payed ,0.4685770191292706,29120.0
4083,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed,0.7080147267063155,44000.0
4084,2,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,1.3144415856680007,53325.0
4086,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed,2.0918616925413867,130000.0
4087,1,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed,1.3355732344687314,83000.0
4088,0,21 - 30 years,8 - 10 years,College degree,Woman,Education,well payed,1.158569552792153,72000.0
4089,0,5-7 years,5-7 years,College degree,Non-binary,Education,bad payed,0.7836435725135811,47700.0
4090,0,8 - 10 years,5-7 years,College degree,Woman,Education,well payed,1.2229345279472723,76000.0
4092,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.0137483586931335,63000.0
4093,1,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,1.0137483586931335,63000.0
4094,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Consulting,very well payed,2.574599006204784,140000.0
4095,0,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,1.0620220900594732,66000.0
4096,2,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,very well payed,2.011405473597488,110000.0
4097,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed,1.149659012700995,44100.0
4098,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed,2.4525919573089383,82950.0
4099,0,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,1.416029453412631,80000.0
4100,1,5-7 years,2 - 4 years,Master's degree,Woman,Health,very well payed,2.075770448752607,114000.0
4101,0,11 - 20 years,11 - 20 years,College degree,Woman,Law,well payed,1.729808707293839,100000.0
4102,0,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed,0.7241059704950954,45000.0
4103,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed,4.103267166138874,199000.0
4104,0,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,very well payed,10.89244627209086,77000.0
4105,0,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,1.0346669756185474,64000.0
4106,1,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,very well payed,2.244728508534796,132000.0
4107,0,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,well payed,1.0137483586931335,63000.0
4108,0,31 - 40 years,21 - 30 years,College degree,Woman,Other,very well payed,2.7355114440925825,150000.0
4110,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,bad payed,0.6693957416132438,41600.0
4111,0,5-7 years,5-7 years,College degree,Woman,Health,bad payed,0.6868064673927036,42182.0
4112,0,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,well payed,1.416029453412631,87000.0
4113,1,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed,1.158569552792153,72000.0
4114,0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,1.1666151746865423,72500.0
4115,0,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,1.930949254653588,120000.0
4116,0,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed,1.1569604284132746,71900.0
4117,2,31 - 40 years,1 year or less,Some college,Woman,Banking & Insurance,well payed,1.1032156741587498,68560.0
4118,0,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,1.1913474163898974,37000.0
4119,4,5-7 years,5-7 years,PhD,Woman,Health,very well payed,4.022810947194975,200000.0
4120,2,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,1.1630455498380026,45820.0
4121,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,1.7539455729770088,108000.0
4122,3,21 - 30 years,5-7 years,College degree,Man,Other,well payed,1.60912437887799,100000.0
4123,1,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed,0.8045621894389949,50000.0
4124,0,8 - 10 years,1 year or less,College degree,Woman,Law,bad payed,0.535516593290595,33280.0
4126,2,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,1.263162637419222,76000.0
4127,0,5-7 years,2 - 4 years,College degree,Woman,Health,bad payed,0.7390665081649253,28350.0
4128,1,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed,1.60912437887799,95000.0
4130,0,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed,1.4482119409901908,82000.0
4131,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,1.56085064751165,97000.0
4132,0,21 - 30 years,8 - 10 years,College degree,Woman,Health,well payed,1.6863623490641333,100800.0
4133,0,11 - 20 years,2 - 4 years,College degree,Woman,Education,very bad payed ,0.3540073633531577,22000.0
4134,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Culture,well payed,1.1263870652145929,70000.0
4135,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.3918925877294612,82500.0
4136,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,1.5944813470302002,87090.0
4137,0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,1.158569552792153,69000.0
4138,0,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,well payed,1.4679817038307603,61620.0
4140,0,5-7 years,2 - 4 years,College degree,Woman,Health,bad payed,0.6263388603011245,26291.2
4141,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed,2.059679204963827,124000.0
4142,0,21 - 30 years,5-7 years,College degree,Woman,Technology & Science,well payed,1.6976262197162792,95900.0
4143,2,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,very well payed,2.1601076143402365,76860.0
4144,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,0.6275585077624161,39000.0
4145,0,11 - 20 years,2 - 4 years,College degree,Woman,Health,bad payed,0.6502799849840456,24944.22
4146,1,5-7 years,5-7 years,Master's degree,Man,Education,bad payed,0.9600724223365732,40300.0
4147,3,21 - 30 years,8 - 10 years,College degree,Man,Health,well payed,1.78442139515965,83740.0
4148,0,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.7723797018614351,48000.0
4149,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,1.1263870652145929,70000.0
4150,4,2 - 4 years,8 - 10 years,PhD,Non-binary,Education,well payed,1.053935582237469,44240.0
4151,0,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed,2.011405473597488,125000.0
4152,0,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,well payed,1.7700368167657887,110000.0
4153,2,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,very well payed,2.159508018936787,74025.0
4154,0,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,1.158569552792153,72000.0
4155,3,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,very well payed,2.070230607966457,86900.0
4157,3,11 - 20 years,2 - 4 years,College degree,Man,Technology & Science,well payed,1.0169666074508896,62000.0
4158,0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,very well payed,3.21824875775598,200000.0
4159,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,1.6815349759274991,95000.0
4160,4,11 - 20 years,8 - 10 years,PhD,Woman,Consulting,very well payed,2.2045003990628462,132000.0
4161,1,11 - 20 years,8 - 10 years,Master's degree,Prefer not to answer,Non profit Organization,well payed,1.3516644782575111,84000.0
4164,0,11 - 20 years,5-7 years,College degree,Woman,Culture,bad payed,0.7643340799670452,47500.0
4165,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,very well payed,4.795190649056409,186000.0
4166,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,very well payed,3.21824875775598,200000.0
4167,0,21 - 30 years,11 - 20 years,College degree,Woman,Industry,bad payed,0.8689271645941145,54000.0
4168,3,5-7 years,2 - 4 years,College degree,Man,Health,bad payed,0.9506706830411163,54080.0
4169,0,11 - 20 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,1.5809033733562037,66360.0
4170,3,5-7 years,5-7 years,College degree,Man,Industry,well payed,1.60912437887799,100000.0
4171,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,bad payed,0.8367446770165546,50000.0
4172,3,8 - 10 years,5-7 years,Some college,Man,Technology & Science,well payed,1.947040498442368,110000.0
4173,0,21 - 30 years,21 - 30 years,College degree,Woman,Health,well payed,1.0089209855564996,62400.0
4174,0,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed,0.8056242115290544,50066.0
4175,1,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,well payed,1.3194819906799515,82000.0
4176,0,5-7 years,5-7 years,College degree,Non-binary,Education,well payed,1.0298396024819134,64000.0
4177,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,1.7745918438759087,71000.0
4178,0,5-7 years,5-7 years,College degree,Woman,Unidentified,well payed,1.229371025462784,75000.0
4179,1,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,well payed,1.2068432841584924,75000.0
4180,1,2 - 4 years,2 - 4 years,Master's degree,Man,Education,well payed,1.6413068664555497,102000.0
4181,3,41 years or more,21 - 30 years,College degree,Man,Industry,bad payed,0.9626747509075462,59426.0
4182,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed,1.287299503102392,80000.0
4183,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.930949254653588,120000.0
4184,1,21 - 30 years,21 - 30 years,Master's degree,Woman,Advertising,well payed,1.6573981102443296,93000.0
4185,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed,2.8159676630364823,150000.0
4186,0,21 - 30 years,21 - 30 years,College degree,Woman,Public & Government,well payed,1.7879264341528494,75050.0
4187,3,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Culture,bad payed,0.643649751551196,40000.0
4188,1,11 - 20 years,5-7 years,Master's degree,Woman,Industry,very well payed,2.059679204963827,123000.0
4189,0,21 - 30 years,21 - 30 years,College degree,Woman,Public & Government,bad payed,0.8045621894389949,50000.0
4190,1,11 - 20 years,5-7 years,Master's degree,Woman,Health,well payed,1.6413068664555497,96000.0
4191,0,21 - 30 years,11 - 20 years,College degree,Woman,Advertising,very well payed,2.333230349373085,145000.0
4192,0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,very well payed,2.027496717386267,110000.0
4194,0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed,4.344635822970573,163000.0
4195,0,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed,0.6677866172343657,41500.0
4196,0,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed,0.8367446770165546,52000.0
4197,0,11 - 20 years,2 - 4 years,College degree,Woman,Culture,bad payed,0.635604129656806,35500.0
