,harmonized_salary,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry cluster tf_idf_bigrams,category_salary,cluster
7016,72000.0,45-54,31 - 40 years,5-7 years,Master's degree,Woman,Education,medium,2
7017,72000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Health,medium,0
7018,42000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Public & Government,low,0
7019,73647.0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,medium,0
7020,106137.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,high,0
7021,60000.0,45-54,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
7022,54877.0,25-34,5-7 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,low,2
7023,39060.0,25-34,11 - 20 years,2 - 4 years,College degree,Woman,Social,low,2
7024,78000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
7025,26000.0,35-44,11 - 20 years,5-7 years,College degree,Non-binary,Public & Government,low,2
7026,49500.0,55-64,31 - 40 years,8 - 10 years,College degree,Woman,Other,low,2
7027,164000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Consulting,high,0
7028,80000.0,45-54,21 - 30 years,11 - 20 years,Some college,Woman,Non profit Organization,medium,0
7029,90000.0,35-44,11 - 20 years,5-7 years,Some college,Woman,Banking & Insurance,medium,0
7030,43000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
7031,62500.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Education,medium,2
7032,32280.0,55-64,31 - 40 years,31 - 40 years,College degree,Man,Other,low,2
7033,94500.0,55-64,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Health,high,0
7034,38500.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Education,low,2
7035,40320.0,25-34,8 - 10 years,5-7 years,PhD,Woman,Public & Government,low,0
7036,135000.0,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,high,1
7037,50000.0,45-54,8 - 10 years,8 - 10 years,College degree,Woman,Culture,low,2
7038,72680.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,medium,2
7039,72000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Other,medium,2
7040,101000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,high,0
7041,119000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,high,0
7042,33180.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,low,2
7043,102000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Industry,high,1
7044,69000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Education,medium,2
7045,50800.0,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Education,low,2
7046,51350.0,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,low,2
7047,34614.0,25-34,5-7 years,5-7 years,High School,Woman,Banking & Insurance,low,2
7048,125000.0,35-44,21 - 30 years,5-7 years,Master's degree,Woman,Technology & Science,high,1
7049,52000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
7050,132000.0,35-44,21 - 30 years,8 - 10 years,Master's degree,Woman,Technology & Science,high,1
7051,57670.0,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Education,low,2
7052,120000.0,35-44,11 - 20 years,8 - 10 years,PhD,Woman,Other,high,1
7053,121000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,high,0
7054,125000.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,high,0
7055,89000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Culture,medium,2
7056,175000.0,35-44,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,high,1
7057,95000.0,45-54,31 - 40 years,31 - 40 years,Some college,Woman,Banking & Insurance,high,1
7058,55000.0,25-34,5-7 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,low,2
7059,30051.0,18-24,5-7 years,5-7 years,High School,Woman,Construction,low,2
7060,110000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,high,2
7061,115000.0,55-64,21 - 30 years,21 - 30 years,Some college,Woman,Technology & Science,high,1
7062,51940.0,45-54,11 - 20 years,2 - 4 years,Master's degree,Woman,Non profit Organization,low,2
7063,45750.0,25-34,2 - 4 years,5-7 years,College degree,Woman,Culture,low,2
7064,225000.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7065,60000.0,55-64,31 - 40 years,21 - 30 years,High School,Woman,Technology & Science,low,2
7066,35370.0,35-44,2 - 4 years,2 - 4 years,High School,Woman,Industry,low,2
7067,80636.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,medium,2
7068,86881.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,medium,0
7069,78000.0,35-44,11 - 20 years,2 - 4 years,Some college,Woman,Industry,medium,0
7070,74000.0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Human Ressources,medium,0
7071,75000.0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Human Ressources,medium,0
7072,72800.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,medium,0
7073,101000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,high,1
7074,55000.0,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Health,low,0
7075,180000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,high,1
7076,109000.0,45-54,21 - 30 years,21 - 30 years,High School,Man,Banking & Insurance,high,1
7077,129000.0,35-44,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Other,high,1
7078,85082.76,45-54,21 - 30 years,11 - 20 years,Master's degree,Man,Technology & Science,medium,1
7079,25000.0,35-44,2 - 4 years,2 - 4 years,College degree,Woman,Education,low,2
7080,70000.0,35-44,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,medium,1
7081,85000.0,45-54,11 - 20 years,11 - 20 years,College degree,Woman,Other,medium,2
7082,39500.0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,low,2
7083,103842.0,35-44,21 - 30 years,8 - 10 years,College degree,Woman,Technology & Science,high,1
7084,52000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
7085,59000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,low,2
7086,125000.0,45-54,31 - 40 years,31 - 40 years,Master's degree,Woman,Banking & Insurance,high,1
7087,72750.0,25-34,1 year or less,1 year or less,PhD,Woman,Public & Government,medium,0
7088,134000.0,35-44,11 - 20 years,8 - 10 years,PhD,Woman,Public & Government,high,0
7089,80000.0,25-34,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,medium,1
7090,45000.0,25-34,11 - 20 years,5-7 years,Master's degree,Woman,Culture,low,2
7091,77586.0,35-44,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,medium,0
7092,104000.0,65 or over,21 - 30 years,21 - 30 years,College degree,Woman,Industry,high,1
7093,74880.0,65 or over,41 years or more,41 years or more,Some college,Woman,Law,medium,0
7094,84000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,medium,1
7095,92000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Public & Government,medium,0
7096,58500.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,low,2
7097,140000.0,25-34,8 - 10 years,8 - 10 years,PhD,Woman,Technology & Science,high,1
7098,84000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Education,medium,2
7099,39808.44,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Industry,low,2
7100,70000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,medium,0
7101,60200.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,medium,0
7102,40000.0,25-34,5-7 years,2 - 4 years,College degree,Man,Other,low,2
7103,60000.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Health,low,0
7104,41600.0,35-44,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,low,2
7105,98600.0,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Non profit Organization,high,0
7106,47084.0,35-44,8 - 10 years,8 - 10 years,High School,Woman,Technology & Science,low,2
7107,62000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Man,Culture,medium,2
7108,110000.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,high,1
7109,96380.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,high,1
7110,92500.0,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,medium,1
7111,123000.0,25-34,2 - 4 years,2 - 4 years,College degree,Prefer not to answer,Technology & Science,high,1
7112,75000.0,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Culture,medium,2
7113,77000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
7114,60000.0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,low,2
7115,33300.0,25-34,5-7 years,1 year or less,Master's degree,Woman,Non profit Organization,low,2
7116,41600.0,35-44,8 - 10 years,1 year or less,Master's degree,Woman,Unidentified,low,2
7117,91000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,medium,1
7118,53000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,low,0
7119,105500.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,high,1
7120,39500.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Education,low,2
7121,138000.0,25-34,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Education,high,2
7122,46150.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,low,2
7123,82500.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Consulting,medium,0
7124,54000.0,45-54,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
7125,137000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,high,1
7126,62000.0,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,medium,0
7127,54080.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,low,2
7128,51000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,low,2
7129,175000.0,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Advertising,high,0
7130,58000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,low,2
7131,60000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,low,2
7132,62000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
7133,65000.0,25-34,5-7 years,5-7 years,College degree,Woman,Education,medium,2
7134,93220.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Education,high,2
7135,81000.0,55-64,21 - 30 years,8 - 10 years,College degree,Woman,Banking & Insurance,medium,0
7136,61000.0,45-54,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,medium,2
7137,80000.0,25-34,5-7 years,2 - 4 years,College degree,Man,Banking & Insurance,medium,1
7138,53676.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,low,0
7139,105000.0,25-34,8 - 10 years,5-7 years,College degree,Man,Industry,high,1
7140,87500.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,medium,1
7141,47000.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,low,2
7142,42400.0,25-34,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,low,2
7143,43800.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,low,2
7144,106000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,high,1
7145,47008.0,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Other,low,2
7146,65000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,medium,2
7147,49000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,low,2
7149,123000.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Advertising,high,0
7150,104675.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Education,high,1
7151,83000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,medium,2
7152,19978.0,25-34,8 - 10 years,5-7 years,Master's degree,Non-binary,Education,low,2
7153,215000.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Man,Technology & Science,high,1
7154,82000.0,35-44,5-7 years,5-7 years,PhD,Woman,Technology & Science,medium,1
7155,65720.0,45-54,31 - 40 years,8 - 10 years,College degree,Woman,Technology & Science,medium,1
7156,82000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Other,medium,2
7157,63000.0,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,medium,0
7158,63524.0,25-34,5-7 years,1 year or less,Master's degree,Woman,Technology & Science,medium,1
7159,47795.0,35-44,5-7 years,5-7 years,College degree,Woman,Health,low,0
7160,67000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,medium,2
7161,75000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,medium,2
7162,30000.0,35-44,5-7 years,5-7 years,Master's degree,Woman,Health,low,0
7163,82000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,medium,1
7164,37800.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Retail,low,2
7165,100000.0,65 or over,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,high,2
7166,63000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,medium,0
7167,82950.0,45-54,21 - 30 years,2 - 4 years,Master's degree,Woman,Education,medium,2
7168,54000.0,35-44,11 - 20 years,1 year or less,Master's degree,Woman,Health,low,0
7169,83350.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Other,medium,2
7170,77000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Consulting,medium,0
7171,90000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,medium,1
7172,75000.0,45-54,21 - 30 years,21 - 30 years,Some college,Woman,Technology & Science,medium,1
7173,48000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,low,2
7174,103000.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7175,130000.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Law,high,0
7176,45000.0,45-54,11 - 20 years,5-7 years,College degree,Woman,Human Ressources,low,0
7177,47880.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Human Ressources,low,0
7178,78786.0,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Banking & Insurance,medium,0
7179,40000.0,35-44,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
7180,250000.0,45-54,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,high,1
7182,12084.0,25-34,2 - 4 years,1 year or less,High School,Prefer not to answer,Industry,low,2
7183,100000.0,25-34,5-7 years,5-7 years,College degree,Woman,Industry,high,1
7184,63336.0,35-44,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,medium,2
7185,130000.0,25-34,11 - 20 years,5-7 years,College degree,Man,Industry,high,1
7186,110000.0,25-34,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7188,82000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,medium,0
7189,19000.0,35-44,21 - 30 years,8 - 10 years,College degree,Woman,Education,low,2
7190,140000.0,25-34,11 - 20 years,8 - 10 years,High School,Woman,Banking & Insurance,high,1
7191,45000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,low,2
7192,50000.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,low,2
7193,180200.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,high,0
7194,103000.0,35-44,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7195,63750.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Industry,medium,0
7196,51226.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,low,0
7197,130000.0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,high,1
7198,235000.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7199,151200.0,35-44,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,high,1
7200,175000.0,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,high,1
7201,250000.0,45-54,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7202,67000.0,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,medium,0
7203,95000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Other,high,1
7204,50400.0,25-34,11 - 20 years,2 - 4 years,Some college,Woman,Non profit Organization,low,2
7205,51350.0,25-34,8 - 10 years,5-7 years,College degree,Non-binary,Public & Government,low,2
7206,50000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Construction,low,2
7207,28828.8,35-44,21 - 30 years,1 year or less,College degree,Woman,Public & Government,low,0
7208,43000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Industry,low,2
7209,145000.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,high,1
7210,110000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,high,0
7211,41600.0,18-24,1 year or less,1 year or less,College degree,Woman,Non profit Organization,low,2
7212,41080.0,25-34,11 - 20 years,11 - 20 years,Some college,Woman,Advertising,low,2
7213,57000.0,35-44,21 - 30 years,5-7 years,College degree,Woman,Law,low,0
7214,77000.0,35-44,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,medium,0
7215,90000.0,25-34,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,medium,1
7216,63300.0,45-54,21 - 30 years,8 - 10 years,Some college,Woman,Public & Government,medium,0
7217,168000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,high,1
7218,60000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,low,2
7219,123500.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,high,1
7220,132000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,high,0
7221,53500.0,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Education,low,2
7222,48000.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,low,2
7223,124000.0,25-34,1 year or less,1 year or less,PhD,Man,Health,high,1
7224,80580.0,45-54,21 - 30 years,5-7 years,College degree,Woman,Technology & Science,medium,1
7225,87445.0,35-44,21 - 30 years,21 - 30 years,Master's degree,Man,Education,medium,2
7226,86900.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Public & Government,medium,0
7227,114000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Health,high,0
7228,78000.0,35-44,21 - 30 years,5-7 years,Some college,Woman,Banking & Insurance,medium,0
7229,88000.0,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Industry,medium,0
7230,29000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Unidentified,low,2
7231,93000.0,35-44,8 - 10 years,5-7 years,College degree,Woman,Culture,medium,2
7232,75000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Industry,medium,0
7233,70000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,medium,1
7234,23350.32,25-34,11 - 20 years,2 - 4 years,College degree,Woman,Industry,low,2
7235,185000.0,45-54,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,Banking & Insurance,high,1
7236,57000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,low,0
7237,50000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Culture,low,2
7238,115000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,high,0
7239,93000.0,35-44,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,medium,0
7240,58930.0,45-54,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,low,2
7241,80000.0,25-34,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,medium,1
7242,65000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,medium,0
7243,93000.0,35-44,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,medium,1
7244,145000.0,35-44,8 - 10 years,8 - 10 years,College degree,Man,Unidentified,high,1
7245,84975.0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,medium,0
7246,151000.0,25-34,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7247,41600.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,low,2
7248,93000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,medium,1
7249,76630.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,medium,0
7250,200000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Advertising,high,0
7251,70000.0,25-34,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Education,medium,2
7252,65000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Social,medium,2
7253,26460.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Public & Government,low,0
7254,65000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,medium,0
7255,59000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Law,low,0
7256,60000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,low,2
7257,55000.0,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,low,2
7258,77500.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Industry,medium,0
7259,89975.0,25-34,11 - 20 years,2 - 4 years,College degree,Man,Non profit Organization,medium,0
7260,152000.0,35-44,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7261,61000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Law,medium,0
7262,83000.0,25-34,8 - 10 years,1 year or less,Master's degree,Woman,Other,medium,2
7263,112000.0,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
7264,73000.0,25-34,11 - 20 years,11 - 20 years,College degree,Man,Advertising,medium,1
7265,62000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,medium,2
7266,46000.0,25-34,2 - 4 years,2 - 4 years,Some college,Woman,Retail,low,2
7267,42155.19,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,low,2
7268,33000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Health,low,0
7269,155000.0,35-44,11 - 20 years,8 - 10 years,PhD,Woman,Industry,high,1
7270,65000.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,medium,0
7271,220000.0,25-34,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,high,1
7272,46412.5,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Law,low,0
7273,60000.0,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,low,2
7274,78000.0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Education,medium,2
7275,90771.0,25-34,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,medium,0
7276,120000.0,25-34,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Education,high,2
7277,77500.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Health,medium,0
7278,76000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,medium,0
7279,59000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Culture,low,2
7280,60965.0,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Retail,medium,2
7281,56000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,low,2
7282,90000.0,45-54,11 - 20 years,11 - 20 years,College degree,Man,Advertising,medium,1
7283,70000.0,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Education,medium,2
7284,136500.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,high,1
7285,37000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Social,low,2
7286,49331.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,low,2
7287,85000.0,25-34,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,medium,0
7288,65668.0,45-54,11 - 20 years,2 - 4 years,PhD,Woman,Education,medium,2
7289,41580.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Unidentified,low,2
7290,48980.0,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,low,2
7291,70000.0,18-24,2 - 4 years,2 - 4 years,College degree,Prefer not to answer,Advertising,medium,0
7292,62370.0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,medium,2
7293,41600.0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Health,low,2
7294,68000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,medium,0
7295,168000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,high,0
7296,60000.0,35-44,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,low,2
7297,114000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,high,1
7298,35000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,low,2
7299,47400.0,55-64,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,low,0
7300,60000.0,35-44,8 - 10 years,5-7 years,College degree,Woman,Health,low,0
7301,69000.0,25-34,5-7 years,1 year or less,College degree,Woman,Industry,medium,0
7302,53000.0,18-24,2 - 4 years,1 year or less,College degree,Man,Technology & Science,low,1
7303,106733.0,35-44,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,high,2
7304,80000.0,18-24,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,medium,1
7305,100800.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Human Ressources,high,0
7306,91914.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Industry,medium,0
7307,33200.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,low,2
7308,39129.0,25-34,5-7 years,2 - 4 years,College degree,Man,Education,low,2
7309,34000.0,55-64,31 - 40 years,11 - 20 years,Some college,Woman,Public & Government,low,0
7310,54538.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Industry,low,2
7311,90000.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Non-binary,Technology & Science,medium,2
7312,119000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Consulting,high,0
7313,170000.0,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,high,1
7314,109450.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Man,Technology & Science,high,1
7315,66463.0,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,medium,1
